generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-2.53681,-39449.2,1,1
5001,0,-1.10697,-38918.7,0.1192,0.345
10001,2,1.40995,-38920,0.950394,0.3788
15001,1,1.24015,-38918.4,0.655396,0.4056
20001,1,1.008,-38917.1,1.47794,0.3056
25001,0,-2.46241,-38918.2,1.46552,0.3878
30001,0,-1.61944,-38918.4,0.551564,0.2878
35001,0,-1.20654,-38919.3,0.134041,0.4034
40001,0,-3.39287,-38918.4,2.41644,0.3552
45001,1,-3.97346,-38918.3,2.27453,0.359
50001,0,-1.72803,-38917.8,0.806586,0.348
55001,1,1.48124,-38919,0.0451707,0.4086
60001,0,-1.75143,-38918.9,0.859957,0.3502
65001,0,-1.36217,-38917.9,0.368659,0.3908
70001,0,-2.37498,-38917.9,1.38078,0.3554
75001,0,-1.45784,-38917.7,0.555372,0.2946
80001,0,-0.918413,-38918,0.056729,0.373
85001,2,2.08738,-38919.2,2.36201,0.4014
90001,1,0.392927,-38916.5,0.15884,0.378
95001,2,3.26042,-38920.1,0.0386862,0.384
100001,1,-1.54278,-38920.3,1.49916,0.3188
105001,1,0.782291,-38917.8,1.08627,0.3088
110001,1,-1.25702,-38919.1,1.12937,0.343
115001,1,0.0816823,-38919.2,0.165905,0.4166
120001,0,-1.6232,-38917.6,0.761203,0.4136
125001,1,-0.259645,-38919,0.240897,0.3768
130001,1,1.51445,-38917.1,0.094378,0.3172
135001,0,-1.03417,-38918,0.0754303,0.3488
140001,0,-3.31846,-38918,2.404,0.329
145001,1,-0.994872,-38917.3,0.73805,0.3334
150001,2,3.15078,-38917.7,1.63078,0.3536
155001,0,-1.30478,-38920,0.32638,0.371
160001,0,-0.977341,-38918,0.0193894,0.3508
165001,0,-1.43223,-38919,0.358311,0.3656
170001,4,5.73566,-38912.2,2.95535,0.3718
175001,3,3.93846,-38907,0.760091,0.4398
180001,0,-2.66819,-38919.6,1.56709,0.397
185001,0,-2.3966,-38918.2,1.29932,0.3898
190001,0,-1.67624,-38917.9,0.577345,0.3524
195001,0,-1.05464,-38918.4,0.0381657,0.3016
200001,0,-1.31814,-38917.8,0.266448,0.2776
205001,0,-1.61025,-38918,0.606094,0.3308
210001,0,-3.51478,-38918.7,2.36828,0.4092
215001,0,-1.41384,-38918,0.341971,0.3182
220001,0,-2.99083,-38917.5,1.91944,0.4086
225001,0,-1.16365,-38920.7,0.0871889,0.411
230001,1,0.483173,-38917.1,1.07415,0.339
235001,0,-1.81191,-38918,0.743618,0.3848
240001,0,-1.06936,-38918.5,0.0414764,0.3072
245001,0,-1.27165,-38921.1,0.125195,0.3562
250001,1,1.82725,-38919.4,0.068439,0.3596
255001,1,0.308484,-38917.9,1.57338,0.3942
260001,0,-1.40834,-38918,0.22712,0.3332
265001,0,-1.88908,-38918.8,0.773173,0.3202
270001,1,0.816592,-38919.1,1.22578,0.387
275001,0,-1.80473,-38918.4,0.56946,0.3882
280001,0,-1.4782,-38920.2,0.357991,0.3218
285001,1,-1.49853,-38918.4,1.15144,0.3058
290001,0,-2.47035,-38917.8,1.26913,0.2712
295001,0,-1.52496,-38917.9,0.308071,0.3262
300001,1,1.27054,-38918,0.224984,0.4168
305001,1,-0.187333,-38917.2,0.338302,0.3558
310001,0,-1.24901,-38917.9,0.136019,0.296
315001,0,-1.34311,-38920.1,0.190994,0.3404
320001,0,-2.30242,-38918.8,1.15009,0.3338
325001,1,-0.0307114,-38919.3,1.78427,0.3548
330001,0,-2.03221,-38918,0.987909,0.3524
335001,0,-2.12892,-38918.2,1.07079,0.3248
340001,0,-1.5766,-38919.1,0.379863,0.3364
345001,1,-0.468834,-38920.3,1.70798,0.3228
350001,0,-1.48637,-38918.4,0.42132,0.2884
355001,1,-0.974941,-38917.8,0.155284,0.3954
360001,0,-1.84486,-38917.9,0.791337,0.3568
365001,0,-1.78213,-38918.5,0.687865,0.451
370001,0,-1.03805,-38918.2,0.00296467,0.4212
375001,0,-1.0794,-38918.5,0.0332286,0.3214
380001,2,-1.85104,-38917.9,0.138108,0.3482
385001,0,-1.96687,-38917.6,0.836251,0.4188
390001,3,4.15792,-38915.6,0.480531,0.4
395001,0,-1.49988,-38917.6,0.399735,0.3328
400001,0,-5.02348,-38917.6,3.89266,0.2906
405001,1,-3.98321,-38917.3,1.0948,0.314
410001,0,-1.46616,-38920.7,0.366455,0.3662
415001,1,-3.29574,-38918.5,0.810059,0.2752
420001,1,0.277841,-38916.6,0.442945,0.369
425001,0,-1.61478,-38917.7,0.512019,0.3782
430001,1,-3.40289,-38918.3,1.24737,0.3712
435001,1,0.235786,-38917.7,0.770705,0.3482
440001,0,-2.71049,-38917.7,1.65234,0.303
445001,1,0.927886,-38917.3,1.38459,0.278
450001,0,-1.19734,-38918.8,0.00428435,0.2722
455001,0,-5.547,-38919.7,4.38852,0.382
460001,0,-3.42482,-38917.9,2.34239,0.3284
465001,1,-0.104316,-38918.2,0.328164,0.3552
470001,0,-2.69611,-38918.9,1.49125,0.3314
475001,1,-7.43231,-38919.6,3.74278,0.41
480001,1,-0.121308,-38918.7,0.115855,0.3656
485001,2,4.32927,-38918.2,0.123298,0.43
490001,0,-1.65789,-38917.9,0.510077,0.3102
495001,0,-1.41949,-38917.5,0.363275,0.3198
500001,1,0.173475,-38917.9,2.05949,0.3784
505001,0,-2.81885,-38918,1.71484,0.2942
510001,0,-1.56489,-38918.5,0.410847,0.3186
515001,1,1.42911,-38917.6,0.531885,0.3764
520001,1,-1.92035,-38919.1,1.57431,0.395
525001,0,-1.34497,-38918.4,0.289879,0.4304
530001,0,-1.15042,-38917.7,0.0695376,0.3526
535001,0,-2.65694,-38918.9,1.46806,0.3666
540001,1,1.11397,-38917.6,0.884288,0.3126
545001,2,2.06798,-38915.3,1.23779,0.395
550001,1,-0.17628,-38918.1,2.28865,0.2988
555001,0,-1.74067,-38917.7,0.608763,0.3156
560001,0,-1.63981,-38917.7,0.502493,0.374
565001,0,-2.7892,-38917.7,1.66772,0.3336
570001,0,-2.05264,-38918.6,0.885349,0.3362
575001,1,0.280879,-38918.9,0.966594,0.3152
580001,1,-3.53583,-38917.9,3.27661,0.38
585001,0,-2.9969,-38917.8,2.02583,0.3794
590001,0,-1.41561,-38917.8,0.350381,0.4202
595001,0,-1.18289,-38919.7,0.258439,0.3912
600001,0,-1.10406,-38918.3,0.0114628,0.311
605001,0,-2.13387,-38918.2,1.12785,0.3848
610001,1,1.24349,-38918.4,0.655729,0.4566
615001,0,-1.33851,-38917.5,0.283205,0.3702
620001,1,-2.9207,-38915.6,2.75947,0.4648
625001,0,-1.54159,-38918,0.552305,0.3914
630001,1,-5.72696,-38924.3,3.87612,0.3268
635001,0,-1.15936,-38917.9,0.141164,0.3296
640001,0,-4.21577,-38917.7,3.12158,0.3822
645001,0,-2.23851,-38920,1.22563,0.4054
650001,2,2.59186,-38915.1,3.06198,0.3294
655001,0,-2.24407,-38917.5,1.2242,0.3862
660001,0,-1.27176,-38917.8,0.329213,0.347
665001,1,-0.282454,-38918.2,2.25117,0.4214
670001,0,-1.86465,-38919.7,0.741533,0.3438
675001,0,-3.29314,-38917.8,2.26988,0.3068
680001,1,-1.39351,-38915.1,1.60858,0.303
685001,0,-1.13679,-38917.5,0.0559294,0.3812
690001,0,-2.25527,-38918.5,1.19484,0.3548
695001,0,-1.12848,-38918.4,0.0152696,0.3704
700001,0,-1.49579,-38918,0.434224,0.371
705001,0,-1.13216,-38918,0.0678559,0.3214
710001,0,-1.68962,-38917.9,0.642881,0.2924
715001,0,-2.45629,-38926.4,1.15957,0.3694
720001,0,-1.27837,-38917.6,0.260605,0.3668
725001,1,2.2821,-38918.2,0.0606255,0.3336
730001,0,-4.35201,-38918.8,3.28773,0.3332
735001,2,0.550487,-38919.6,1.55431,0.3646
