generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-188.227,-184950,50,1
10001,31,311.534,-8572.79,13.3321,0.4733
20001,33,345.714,-8092.71,46.1137,0.5028
30001,35,374.366,-8026.53,36.108,0.4996
40001,40,440.373,-8020.75,116.619,0.4852
50001,39,438.701,-7977.85,4.9121,0.4918
60001,35,382.553,-7898.34,9.51597,0.487
70001,27,416.55,-7911.58,44.5166,0.5068
80001,29,438.315,-7924.46,87.1159,0.516
90001,24,368.293,-7902.14,104.31,0.5239
100001,18,258.386,-7919.15,23.567,0.5066
110001,15,235.381,-7914.37,13.85,0.4942
120001,23,348.386,-7915.59,161.141,0.4913
130001,16,253.99,-7919.05,20.0308,0.4896
140001,11,163.357,-7912.2,130.694,0.4764
150001,17,266.756,-7915.28,30.5388,0.4827
160001,17,270.423,-7906.36,30.164,0.4861
170001,25,389.077,-7908.07,114.466,0.5214
180001,20,305.678,-7912.38,13.5393,0.511
190001,21,325.53,-7905.5,164.168,0.4978
200001,19,305.52,-7895.48,47.844,0.4894
210001,22,328.305,-7903.48,81.6328,0.4959
220001,24,366.314,-7908.67,60.1115,0.4963
230001,24,380.303,-7908.77,3.78384,0.5201
240001,24,368.215,-7897.17,44.9521,0.5062
250001,20,312.054,-7903.86,22.3704,0.5018
260001,23,355.276,-7902.65,20.7769,0.4952
270001,18,277.202,-7906.91,84.7415,0.4888
280001,18,284.06,-7916.99,30.3404,0.4846
290001,22,335.426,-7896.82,14.1033,0.5001
300001,22,342.746,-7911.2,22.2866,0.4996
310001,23,362.005,-7904.07,30.9697,0.4885
320001,29,448.856,-7895.75,6.60664,0.5048
330001,18,277.402,-7908.83,16.2246,0.4969
340001,21,323.481,-7905.01,43.1659,0.4915
350001,21,325.065,-7908.42,91.0333,0.4736
360001,27,427.604,-7889.77,33.4883,0.511
370001,22,341.927,-7896.02,3.1436,0.5123
380001,23,354.561,-7916.73,69.7634,0.5033
390001,22,336.184,-7907.44,18.695,0.5024
400001,17,268.051,-7910.87,32.2045,0.4968
410001,18,277.337,-7902.64,0.666575,0.4868
420001,24,366.474,-7901.77,13.1189,0.4986
430001,15,237.007,-7908.07,0.394443,0.5111
440001,14,222.048,-7917.81,49.0514,0.4771
450001,20,313.513,-7918.19,18.9316,0.5148
460001,23,351.814,-7899.4,232.108,0.4993
470001,19,291.484,-7912.97,28.1895,0.5074
480001,26,404.669,-7903.01,41.9784,0.5109
490001,24,378.221,-7905.03,41.8038,0.5078
500001,29,442.066,-7890.61,30.6647,0.5
510001,32,497.893,-7895.33,12.2167,0.5225
520001,29,443.882,-7884.69,22.2489,0.5023
530001,29,452.241,-7886.4,37.6503,0.4985
540001,20,314.193,-7904.05,66.5544,0.4824
550001,22,344.468,-7897.64,18.1045,0.499
560001,16,248.981,-7903.45,71.8197,0.4573
570001,19,302.738,-7913.49,0.352607,0.4684
580001,20,313.211,-7909.41,7.55365,0.5137
590001,16,250.719,-7890.61,5.99311,0.4947
600001,13,208.86,-7900.96,53.7149,0.4603
610001,13,206.155,-7905.19,49.1815,0.4929
620001,20,308.182,-7908.63,80.9768,0.5286
630001,18,277.675,-7898.02,188.104,0.5015
640001,17,263.254,-7898.46,30.4977,0.5061
650001,14,211.458,-7899.7,53.4916,0.4951
660001,20,309.661,-7893.88,54.5309,0.4792
670001,15,231.709,-7889.79,57.2138,0.4815
680001,21,321.691,-7893.75,55.0282,0.4988
690001,16,240.176,-7900.73,16.9032,0.5021
700001,20,314.481,-7894.78,37.1043,0.5067
710001,21,318.93,-7894.56,111.636,0.496
720001,28,424.478,-7895.48,45.3574,0.5227
730001,21,332.123,-7902.59,3.1149,0.5374
740001,21,321.267,-7896.09,19.5703,0.5132
750001,15,229.283,-7898.69,77.9994,0.5078
760001,17,262.453,-7897.96,83.263,0.5079
770001,17,257.746,-7898.07,24.827,0.5141
780001,18,279.886,-7908.05,46.2217,0.497
790001,21,326.413,-7898.71,103.895,0.517
800001,17,266.261,-7897.37,0.265447,0.5025
810001,13,197.705,-7899.5,42.0118,0.5071
820001,20,316.688,-7899.56,16.6851,0.5107
830001,22,343.949,-7906.57,86.8599,0.516
840001,18,281.074,-7906.05,106.43,0.5201
850001,20,302.417,-7903.43,56.5345,0.4882
860001,20,308.387,-7883.81,17.1698,0.5205
870001,19,293.765,-7903.59,63.0853,0.511
880001,26,406.293,-7911.58,40.3837,0.5345
890001,19,302.658,-7909.57,7.54929,0.5365
900001,19,293.309,-7894.81,55.0181,0.5049
910001,14,213.06,-7899.89,5.46299,0.4818
920001,15,226.286,-7897.8,130.888,0.5156
930001,23,359.697,-7891.67,0.300836,0.5072
940001,25,391.464,-7896.07,35.0475,0.5191
950001,13,200.535,-7904.1,65.3467,0.5125
960001,16,246.463,-7906.36,66.151,0.4817
970001,23,340.468,-7896.12,21.6919,0.5162
980001,19,282.323,-7899.68,47.1968,0.5358
990001,16,242.821,-7909.32,66.2279,0.5094
1000001,16,250.203,-7885.8,47.4233,0.4783
1010001,16,250.406,-7896.17,49.1137,0.5072
1020001,19,298.205,-7887.83,41.3367,0.4895
1030001,22,333.389,-7879.71,67.2653,0.5155
1040001,21,321.832,-7904.04,34.3924,0.509
1050001,14,211.614,-7902.49,11.2509,0.4812
1060001,20,297.062,-7891,39.3026,0.504
1070001,16,250.225,-7899.95,28.7039,0.5231
1080001,15,233.353,-7902.37,49.0406,0.5042
1090001,25,390.71,-7902.8,8.78524,0.5148
1100001,17,266.483,-7901.09,1.4453,0.5319
1110001,13,202.471,-7907.14,1.21294,0.5091
1120001,15,228.743,-7902.52,20.0188,0.4886
1130001,19,297.74,-7891.75,39.8342,0.5311
1140001,10,157.908,-7900.38,70.0468,0.4771
1150001,18,277.645,-7903.24,67.6778,0.4672
1160001,20,307.551,-7900.53,14.1076,0.5145
1170001,14,216.877,-7900.98,79.8184,0.5074
1180001,23,352.098,-7892.2,115.236,0.5163
1190001,25,382.949,-7901.39,17.7897,0.5261
1200001,16,254.191,-7893.86,8.03205,0.4906
1210001,22,345.089,-7894.77,49.0307,0.509
1220001,23,358.099,-7899.43,6.79127,0.5151
1230001,21,326.876,-7898.76,167.416,0.4968
1240001,24,378.331,-7891.66,115.047,0.5164
1250001,18,271.048,-7885.32,67.513,0.5251
1260001,20,302.815,-7893.25,27.7978,0.5029
1270001,25,388.98,-7888.88,3.06397,0.5195
1280001,17,247.221,-7900.47,8.13578,0.5169
