generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,768,5112,0,0.032,0,0.00580608,0
10001,768,5112,0,0.0176712,0,0.017498,0
10001,768,NA,11356.3,0.000178748,-3.36212e-005,0.000452242,0
10001,5217,5680,10643.3,4.27063e-005,9.36937e-006,0.000248185,0
10001,4283,NA,14135.4,0.000476941,-3.37321e-005,0.000617105,0
10001,6121,6163,8748.63,0.000174689,4.29504e-005,0.000190817,0
10001,5611,3276,2524.37,0.000210271,2.26267e-007,0.00016445,0
10001,2545,4459,15414.1,8.07045e-005,1.21473e-005,2.52586e-005,0
10001,4268,5580,21762.4,0.000846869,-5.82873e-005,0.000695243,0
10001,1848,6451,28604.5,0.00158826,-0.000783782,0.00185074,0
10001,1727,5553,24528.9,0.00045616,-1.13061e-005,0.00135008,0
10001,2869,780,4376.41,0.000328163,3.27418e-005,0.00069374,0
10001,4745,6494,9488.28,0.000241061,6.91101e-005,0.000499904,0
10001,1367,4525,6405.87,0.000116982,-5.9411e-005,3.30266e-005,0
10001,4883,NA,15766.1,0.00315491,-0.00196204,0.000468251,0
10001,5553,NA,25945.4,0.000451475,5.15659e-005,0.000677311,0
10001,2938,6406,26193.3,0.000248872,5.88444e-006,0.00097823,0
10001,4081,NA,24177,0.000587421,1.66713e-005,0.00141254,0
10001,5354,NA,28399.3,0.000248191,4.50172e-005,0.00064665,0
10001,4302,6048,24535,0.000495216,4.55504e-005,0.000575139,0
10001,6208,NA,23488.9,0.000483952,-1.0354e-005,0.000670832,0
10001,5649,4899,18456.8,8.78649e-005,5.82682e-006,8.1662e-005,0
10001,5834,5124,21071,0.000115187,6.20028e-005,9.41981e-005,0
10001,3759,5796,17675.5,0.00129,-6.89384e-005,0.000964215,0
10001,5789,NA,28128.5,0.000663383,0.000482102,0.000190428,0
10001,2864,3705,5062.84,0.000187762,-2.18034e-006,0.000158938,0
10001,5112,4556,642.906,0.000832205,-6.30434e-005,0.000255879,0
10001,3845,NA,25252.8,0.000521593,-0.0113362,0.00133411,0
10001,3482,NA,27485.4,0.000771434,-0.0113859,0.0024736,0
10001,3040,4604,8790.19,0.000402059,6.8931e-007,0.000509894,0
10001,4277,5972,26631.2,0.00164301,-0.000577554,0.000861514,0
10001,4533,NA,29659.8,0.00115294,-0.00375799,0.000486902,0
10001,6445,3319,8394.53,0.00119052,-6.64125e-005,0.000562125,0
20001,768,5112,0,0.0176712,0,0.017498,0
20001,5717,NA,24881.7,0.000180407,5.29531e-005,1.32242e-005,0
20001,4081,NA,23208,0.000197617,-0.00840371,0.000724784,0
20001,5414,5459,22719.3,0.000263869,-2.60275e-005,6.05115e-006,0
20001,5777,NA,28423.9,0.000417543,-0.00908836,1.42256e-005,0
20001,5131,NA,26399.2,0.00181629,-0.0043986,0.000939913,0
20001,5059,6270,26791.2,0.000281985,-0.000141003,3.36957e-005,0
20001,3982,5851,20886.4,0.000346657,-3.43158e-005,4.41633e-005,0
20001,6015,NA,28044.8,0.000620282,-7.93104e-005,0.000590054,0
20001,3845,NA,22848.9,0.0039286,-0.0010121,0.000900482,0
20001,5250,5175,13801,0.000341072,5.88444e-006,0.000242154,0
20001,768,2966,109.407,6.82788e-005,1.21473e-005,1.9285e-006,0
20001,4453,NA,29162.4,0.000860195,0.00176275,0.000427009,0
20001,6321,NA,29858.3,0.00256707,-1.32237e-005,8.09778e-005,0
20001,6161,5727,25021.1,0.000289609,-2.4119e-005,0.000366821,0
20001,6121,6163,8841,0.000160977,4.29504e-005,7.88615e-005,0
20001,5606,6410,27202.2,0.00100986,-2.46702e-006,0.000588742,0
20001,3759,5796,21039.3,0.00117967,-6.89384e-005,0.000690363,0
20001,6364,5675,18887.3,0.000601406,-5.9411e-005,0.000636016,0
20001,1476,NA,27835.1,0.000269003,-1.26091e-005,0.00163041,0
20001,4556,NA,23563.8,5.81831e-006,3.64845e-005,0.000843121,0
20001,5112,4556,507.245,0.000909495,-6.30434e-005,0.000278533,0
20001,6161,6298,21774.8,0.0001811,-0.0116437,1.63904e-005,0
20001,4435,NA,22299.2,0.000100084,4.55504e-005,0.000399054,0
20001,695,4884,11013.6,0.000524168,8.94507e-006,0.000754085,0
20001,5834,5124,22235.3,0.00049873,6.20028e-005,0.000848583,0
20001,5834,2311,12446.8,0.000817821,-0.00173616,5.03676e-006,0
20001,4935,5639,25167.6,0.000401876,5.20927e-005,0.000649204,0
20001,3040,4604,10742.5,0.000339222,6.8931e-007,0.00054505,0
20001,4743,NA,24248.1,0.000495324,5.82682e-006,0.00156211,0
20001,5972,6153,27601.6,0.000561034,-0.00556942,0.000537607,0
20001,6124,NA,29603.1,0.000941549,-0.00162986,1.56953e-005,0
20001,6445,3319,7950.78,0.000661111,-6.64125e-005,0.000292851,0
20001,6302,6606,13222.4,0.000497613,-5.82873e-005,0.000760435,0
30001,768,5112,0,0.0176712,0,0.017498,0
30001,5756,NA,29771.8,0.00059603,-0.00340336,0.00118976,0
30001,3969,NA,17316.5,0.000134125,-0.00218836,0.000181306,0
30001,768,2966,109.407,8.05195e-005,1.21473e-005,1.34119e-005,0
30001,4081,NA,23630.4,0.000369824,-0.00139691,0.000471345,0
30001,5059,6537,29020.5,0.000991876,-9.90879e-006,0.000261278,0
30001,5650,4859,22172.2,0.000392943,5.06123e-005,0.00046149,0
30001,5028,5414,21779.1,0.000380943,-2.60275e-005,0.000201215,0
30001,4745,6494,24801.6,0.0014508,6.05238e-006,0.00167098,0
30001,6040,6523,28989.6,0.00186408,-0.0060078,0.000108104,0
30001,5801,5250,9531.88,0.000260719,5.88444e-006,0.00016786,0
30001,6121,6163,8417.86,0.0002154,4.29504e-005,0.000125774,0
30001,4579,NA,29294.5,0.000728603,-0.00245023,0.000508581,0
30001,5606,6410,26938,0.00104438,-2.46702e-006,0.000365015,0
30001,6269,NA,14769.9,0.00146293,-5.9411e-005,0.00108629,0
30001,6364,5675,21512.8,0.00102942,-1.04451e-005,0.00105742,0
30001,5357,NA,29215.3,0.000474823,-2.52816e-005,0.00146848,0
30001,6254,NA,29365.5,0.000122057,0.00156827,7.27597e-005,0
30001,5112,4556,188.708,0.000957147,-6.30434e-005,0.000315866,0
30001,4743,5131,23933.2,0.000829628,-0.00593185,0.000148516,0
30001,6186,6658,21025.8,0.00115216,-8.02137e-005,0.00149577,0
30001,5851,6435,28597.6,0.000267179,-0.00677557,5.52995e-005,0
30001,6161,5727,22545.2,0.000359245,-2.4119e-005,0.000163932,0
30001,6298,NA,21818.2,6.27024e-006,-0.00166742,5.9115e-006,0
30001,4435,NA,21734.3,0.000668481,-0.0145237,0.000609404,0
30001,695,4884,11666.2,0.000246869,8.94507e-006,0.000243534,0
30001,5834,5124,21454.5,0.000164144,6.20028e-005,0.000363095,0
30001,5834,2311,12743.5,0.000971754,-0.00173616,0.000132266,0
30001,4935,5639,24152.5,0.000939054,5.20927e-005,0.00174349,0
30001,3040,4604,13216.2,0.000324646,6.8931e-007,0.000368868,0
30001,4791,NA,19149.8,0.00149771,1.66939e-005,0.00220205,0
30001,4277,3676,17802,0.000814695,-6.89384e-005,0.000418634,0
30001,6445,3319,5273.39,0.000803737,-6.64125e-005,0.0002572,0
30001,3461,NA,18675.5,1.39713e-005,5.29531e-005,0.000829739,0
30001,6302,6606,11036,0.00152449,-5.82873e-005,0.00121468,0
30001,5918,NA,20894.7,8.98893e-006,-0.00168444,0.000204086,0
40001,768,5112,0,0.0176712,0,0.017498,0
40001,2182,NA,21135.1,0.00108042,-6.8597e-005,0.000637462,0
40001,5115,6249,27083.3,0.00149537,-9.60091e-005,0.00075153,0
40001,768,2966,7.98301,8.4305e-005,1.21473e-005,1.48344e-005,0
40001,5001,NA,29471.5,0.0026816,-0.00184434,0.00171103,0
40001,5847,6726,21646.2,8.7682e-005,-1.34283e-005,0.000130577,0
40001,6097,NA,29595.1,0.000513376,-4.33688e-005,0.00159844,0
40001,5616,5699,17290.5,0.000727475,-2.60275e-005,0.000445152,0
40001,6413,NA,29314.3,3.60692e-005,2.13158e-005,0.00137001,0
40001,3443,NA,27025.2,0.000526064,5.61058e-005,0.000534601,0
40001,5801,4200,13482.3,0.00030892,1.06512e-005,0.000200456,0
40001,5801,5250,10701.7,0.000185531,5.88444e-006,6.53999e-005,0
40001,5869,5937,20812.8,0.000228182,-4.02745e-005,0.000140329,0
40001,5717,NA,24252.3,1.14166e-005,2.22773e-005,5.92345e-005,0
40001,6121,6163,9075.88,0.000205664,4.29504e-005,0.000175859,0
40001,5606,6533,26234.7,0.000393386,-2.46702e-006,0.000201173,0
40001,4745,6494,25324.8,0.000540909,-3.92534e-005,0.00077803,0
40001,5898,NA,26518.9,0.000653723,-0.00177295,0.00126116,0
40001,6364,5675,23829,0.00090407,-1.04451e-005,0.000785171,0
40001,2082,6746,28406.7,0.000475895,1.21656e-005,0.00370949,0
