generation,N_shifts,eventRate
1,1,50
10001,28,8.95074
20001,42,48.7679
30001,43,58.7346
40001,40,65.1227
50001,30,90.7267
60001,44,19.9431
70001,24,12.0577
80001,32,43.2736
90001,18,18.6672
100001,35,9.64236
110001,22,0.785524
120001,31,45.9582
130001,34,4.30472
140001,23,27.1048
150001,31,5.44103
160001,17,2.28533
170001,26,0.155242
180001,60,302.597
190001,30,16.3827
200001,53,9.16498
210001,47,62.3817
220001,22,112.808
230001,19,32.4877
240001,54,56.6926
250001,40,28.0139
260001,30,18.7741
270001,41,7.32319
280001,30,43.2734
290001,43,23.9044
300001,37,2.76633
310001,21,27.8637
320001,53,59.6872
330001,26,24.7919
340001,22,46.4767
350001,33,34.8778
360001,30,18.8247
370001,31,7.17641
380001,22,14.6709
390001,36,57.527
400001,24,68.593
410001,32,16.0292
420001,25,81.3917
430001,26,11.2289
440001,31,36.5459
450001,9,129.502
460001,42,161.118
470001,20,46.5496
480001,39,72.0984
490001,47,8.35616
500001,31,117.141
510001,48,7.52516
520001,33,86.119
530001,36,127.768
540001,42,27.4816
550001,36,80.6756
560001,33,53.5874
570001,26,15.115
580001,23,7.61247
590001,29,19.3814
600001,23,29.795
610001,36,5.53776
620001,47,11.7484
630001,30,2.82488
640001,17,33.4842
650001,41,46.5427
660001,23,3.98265
670001,29,32.9614
680001,30,35.1636
690001,38,120.84
700001,35,8.57032
710001,45,84.8508
720001,32,2.35109
730001,41,0.945536
740001,44,12.942
750001,22,40.7331
760001,18,66.1781
770001,18,19.2315
780001,35,86.6023
790001,26,17.1457
800001,34,47.2725
810001,37,6.79907
820001,39,24.6474
830001,28,5.0894
840001,34,13.4218
850001,40,46.8183
860001,44,95.7052
870001,37,72.7409
880001,24,110.726
890001,28,0.0140543
900001,14,15.7976
910001,23,8.12214
920001,25,18.5455
930001,44,43.7223
940001,50,8.39491
950001,42,244.006
960001,29,24.9763
970001,36,46.1783
980001,26,65.9237
990001,29,22.848
1000001,29,15.8006
1010001,38,45.4911
1020001,28,24.575
1030001,32,67.4185
1040001,27,20.1333
1050001,35,21.0989
1060001,28,9.48362
1070001,33,8.31433
1080001,30,32.7317
1090001,11,7.23455
1100001,28,1.61968
1110001,23,96.8594
1120001,20,8.16779
1130001,28,1.69524
1140001,17,12.5097
1150001,29,77.744
1160001,40,0.282586
1170001,21,4.84014
1180001,32,21.0512
1190001,35,0.597161
1200001,36,6.04238
1210001,25,56.288
1220001,35,270.74
1230001,32,20.5254
1240001,27,139.421
1250001,29,1.45408
1260001,42,123.084
1270001,30,11.375
1280001,35,5.25746
1290001,23,13.2702
1300001,45,38.7887
1310001,20,74.7729
1320001,26,26.2308
1330001,27,50.4518
1340001,14,9.27048
1350001,26,138.251
1360001,26,10.6667
1370001,38,0.204444
1380001,31,28.9432
1390001,40,48.7878
1400001,40,47.1069
1410001,28,39.2231
1420001,37,89.1963
1430001,30,7.22726
1440001,35,28.9188
1450001,29,14.6338
1460001,46,37.0256
1470001,22,67.5178
1480001,30,9.82552
1490001,33,29.9802
1500001,47,14.4237
1510001,25,89.6061
1520001,33,4.74823
1530001,40,71.3094
1540001,37,15.4661
1550001,35,36.6437
1560001,21,6.07527
1570001,20,5.42772
1580001,42,22.5552
1590001,36,80.629
1600001,27,41.0746
1610001,25,14.8807
1620001,36,152.794
1630001,42,106.974
1640001,35,12.4123
1650001,46,5.38941
1660001,28,11.5837
1670001,27,31.5869
1680001,26,30.034
1690001,36,32.4441
1700001,42,70.5816
1710001,27,4.43615
1720001,29,8.21085
1730001,18,14.1946
1740001,54,4.47188
1750001,27,2.89739
1760001,36,40.7245
1770001,25,7.56702
1780001,32,13.8978
1790001,33,11.8985
1800001,34,3.09915
1810001,22,1.31897
1820001,36,63.7669
1830001,31,14.6551
1840001,33,43.6954
1850001,41,16.8082
1860001,24,86.581
1870001,38,5.06205
1880001,17,32.554
1890001,27,85.2447
1900001,32,26.9051
1910001,47,65.4532
1920001,32,22.7888
1930001,36,71.3262
1940001,31,289.43
1950001,28,101.305
1960001,32,24.5616
1970001,21,146.917
1980001,30,94.2597
1990001,48,77.7862
2000001,55,12.1761
2010001,44,83.9235
2020001,55,40.4926
2030001,22,4.90635
2040001,33,248.499
2050001,45,43.7892
2060001,25,355.351
2070001,30,19.6035
2080001,26,35.6078
2090001,30,34.989
2100001,20,96.7734
2110001,25,31.6006
2120001,40,55.7295
2130001,22,1.53597
2140001,28,13.643
2150001,37,24.5865
2160001,44,52.8688
2170001,30,1.25641
2180001,47,24.7329
2190001,21,8.53258
2200001,56,83.1314
2210001,31,6.1206
2220001,30,116.863
2230001,42,37.4849
2240001,26,80.0853
2250001,14,4.74543
2260001,43,129.762
2270001,16,13.9856
2280001,29,76.2428
2290001,21,10.2618
2300001,49,112.396
2310001,32,40.6097
2320001,36,207.932
2330001,40,77.8401
2340001,38,71.9946
2350001,30,74.7416
2360001,34,24.7477
2370001,29,14.3308
2380001,33,17.0891
2390001,27,78.2018
2400001,54,30.3557
2410001,24,21.0467
2420001,29,43.8222
2430001,40,12.4566
2440001,28,53.9917
2450001,25,9.96599
2460001,28,21.2563
2470001,32,25.0017
2480001,13,25.6471
2490001,41,37.2933
2500001,19,4.41542
2510001,24,3.37581
2520001,43,43.1466
2530001,18,6.165
2540001,40,35.2558
2550001,40,38.3489
2560001,13,15.8882
2570001,34,2.75624
2580001,34,136.737
2590001,39,65.6285
2600001,46,62.9942
2610001,15,4.43765
2620001,35,45.387
2630001,24,25.5952
2640001,22,14.9521
2650001,19,69.4017
2660001,30,1.96972
2670001,32,145.718
2680001,35,40.9725
2690001,24,73.3798
2700001,25,3.75473
2710001,28,9.79801
2720001,34,59.6833
2730001,27,168.108
2740001,35,37.3764
2750001,36,11.8517
2760001,37,64.8288
2770001,34,5.26069
2780001,32,30.7704
2790001,44,29.3163
2800001,34,45.6178
2810001,23,56.7109
2820001,40,65.0092
2830001,47,79.2152
2840001,24,32.8603
2850001,38,30.3694
2860001,45,38.9969
2870001,25,11.0061
2880001,43,65.7556
2890001,46,175.892
2900001,24,73.2087
2910001,28,9.97213
2920001,37,70.2983
2930001,22,1.05367
2940001,48,120.343
2950001,39,13.8186
2960001,37,29.7949
2970001,18,6.26029
2980001,22,16.0221
2990001,37,32.7091
3000001,36,12.4571
3010001,33,49.3974
3020001,40,10.192
3030001,18,2.73047
3040001,29,74.6889
3050001,41,68.4395
3060001,25,35.2287
3070001,28,106.44
3080001,40,36.0513
3090001,36,44.1326
3100001,42,46.1781
3110001,32,85.6419
3120001,18,5.19899
3130001,47,22.1845
3140001,30,5.28244
3150001,28,7.03444
3160001,28,5.82211
3170001,31,126.135
3180001,27,34.9453
3190001,50,67.1114
3200001,28,9.11417
3210001,29,56.4513
3220001,26,40.7275
3230001,27,2.62913
3240001,30,4.18435
3250001,34,26.8539
3260001,23,147.318
3270001,32,30.2782
3280001,21,15.1452
3290001,35,62.2605
3300001,27,5.94613
3310001,35,5.0389
3320001,25,7.42386
3330001,23,7.01947
3340001,20,48.7275
3350001,28,100.795
3360001,26,4.95793
3370001,23,24.7023
3380001,28,22.6603
3390001,44,20.0579
3400001,18,83.4582
3410001,46,86.934
3420001,20,56.9254
3430001,40,136.252
3440001,33,72.5579
3450001,34,159.512
3460001,50,18.9148
3470001,18,45.8284
3480001,37,314.269
3490001,37,6.30488
3500001,24,12.5986
3510001,46,94.9069
3520001,28,127.191
3530001,34,4.65113
3540001,54,72.0166
3550001,19,1.03222
3560001,36,37.7959
3570001,34,37.6926
3580001,17,4.03026
3590001,13,37.0344
3600001,40,60.1869
3610001,31,33.4119
3620001,18,2.8997
3630001,31,31.2055
3640001,25,59.7273
3650001,40,157.887
3660001,44,34.9151
3670001,35,75.7335
3680001,31,19.2408
3690001,22,85.7812
3700001,52,41.4342
3710001,37,104.65
3720001,38,24.0609
3730001,41,36.9819
3740001,21,2.88886
3750001,31,23.9467
3760001,31,109.576
3770001,25,20.9935
3780001,36,9.68613
3790001,9,11.906
3800001,30,26.7622
3810001,19,1.01993
3820001,37,24.8041
3830001,36,16.96
3840001,42,14.9246
3850001,23,14.3936
3860001,35,15.4052
3870001,46,17.2718
3880001,38,5.20025
3890001,46,36.566
3900001,46,0.417736
3910001,37,26.0305
3920001,25,1.1658
3930001,31,40.096
3940001,33,154.921
3950001,23,75.333
3960001,36,26.4338
3970001,32,40.6102
3980001,24,31.0465
3990001,48,11.4106
4000001,21,28.1143
4010001,38,39.0745
4020001,39,26.1314
4030001,32,77.6022
4040001,30,41.6227
4050001,35,76.3927
4060001,30,4.00958
4070001,27,10.048
4080001,28,24.7382
4090001,41,2.78189
4100001,31,21.5517
4110001,42,45.1839
4120001,17,51.6218
4130001,20,44.8442
4140001,2,70.6194
4150001,45,63.3092
4160001,46,176.214
4170001,40,13.206
4180001,49,19.1464
4190001,31,15.2378
4200001,33,1.73074
4210001,27,23.6534
4220001,48,69.2543
4230001,38,62.5751
4240001,36,75.1471
4250001,39,112.765
4260001,22,15.4616
4270001,41,17.7226
4280001,46,26.558
4290001,39,73.6695
4300001,38,150.374
4310001,27,8.25762
4320001,19,44.1952
4330001,21,55.4076
4340001,23,15.5326
4350001,31,27.4286
4360001,24,104.093
4370001,29,51.8327
4380001,35,60.1073
4390001,35,12.1489
4400001,43,57.1017
4410001,34,70.3671
4420001,30,7.64176
4430001,42,59.6558
4440001,19,21.6195
4450001,30,48.9648
4460001,33,36.1699
4470001,33,7.97379
4480001,31,47.1315
4490001,27,70.1901
4500001,24,47.3721
4510001,18,21.8586
4520001,26,78.3216
4530001,32,50.0132
4540001,35,76.6402
4550001,22,39.5501
4560001,31,108.741
4570001,42,65.8243
4580001,29,102.193
4590001,28,40.5916
4600001,31,76.1214
4610001,25,136.707
4620001,31,11.5285
4630001,35,65.6776
4640001,40,22.8925
4650001,35,17.1474
4660001,45,5.24046
4670001,39,223.536
4680001,41,52.8491
4690001,33,44.6234
4700001,40,16.3294
4710001,36,1.42089
4720001,42,5.33765
4730001,18,47.8326
4740001,15,156.994
4750001,32,24.4905
4760001,30,141.763
4770001,32,21.9863
4780001,42,95.3363
4790001,27,59.5093
4800001,24,74.949
4810001,21,45.8708
4820001,28,92.837
4830001,46,11.0813
4840001,27,12.2689
4850001,26,21.6046
4860001,19,10.9363
4870001,46,25.3006
4880001,33,23.0938
4890001,40,83.0502
4900001,39,16.3306
4910001,31,13.7379
4920001,32,70.731
4930001,25,37.8936
4940001,44,161.917
4950001,50,50.9092
4960001,11,40.5246
4970001,33,18.6163
4980001,45,71.2555
4990001,21,1.38103
5000001,20,8.23332
5010001,41,67.1133
5020001,32,89.4052
5030001,35,29.7513
5040001,43,6.25051
5050001,44,5.79859
5060001,23,53.1493
5070001,40,2.59144
5080001,26,31.6555
5090001,26,14.0038
5100001,39,76.2729
5110001,41,77.6894
5120001,28,17.5655
5130001,31,110.892
5140001,38,5.11056
5150001,36,113.842
5160001,17,46.0893
5170001,31,35.3084
5180001,20,2.95068
5190001,17,8.70541
5200001,46,30.3431
5210001,34,19.7424
5220001,31,24.619
5230001,31,25.5033
5240001,25,14.6413
5250001,37,131.923
5260001,42,72.1314
5270001,43,84.9534
5280001,37,90.278
5290001,36,9.32256
5300001,28,11.714
5310001,40,4.62068
5320001,50,7.04186
5330001,31,92.3282
5340001,28,44.6804
5350001,26,12.8505
5360001,38,14.9191
5370001,40,66.0396
5380001,22,56.2801
5390001,42,69.5645
5400001,23,1.48827
5410001,37,15.5071
5420001,29,8.21113
5430001,47,4.84373
5440001,34,40.4817
5450001,32,71.9071
5460001,19,75.8529
5470001,28,8.03061
5480001,45,122.658
5490001,37,65.0736
5500001,39,7.37349
5510001,37,12.2565
5520001,28,6.0908
5530001,32,3.44423
5540001,38,87.536
5550001,39,60.8526
5560001,41,61.5832
5570001,47,62.9001
5580001,40,42.2794
5590001,44,5.62073
5600001,22,30.1901
5610001,32,49.1515
5620001,32,29.5844
5630001,58,189.487
5640001,38,25.1728
5650001,32,46.4006
5660001,25,28.0415
5670001,29,39.0018
5680001,46,53.5592
5690001,41,3.72707
5700001,29,40.6468
5710001,34,19.191
5720001,36,2.72555
5730001,30,112.855
5740001,43,75.0556
5750001,34,42.9438
5760001,30,32.284
5770001,17,14.4667
5780001,46,66.6482
5790001,42,15.6416
5800001,24,24.9442
5810001,24,35.6778
5820001,25,201.754
5830001,38,11.651
5840001,30,21.0369
5850001,17,126.589
5860001,45,78.0844
5870001,35,2.30297
5880001,33,13.829
5890001,38,48.655
5900001,38,124.748
5910001,29,42.0704
5920001,46,52.8194
5930001,36,49.4873
5940001,30,55.7156
5950001,49,32.1305
5960001,29,82.1967
5970001,24,96.0973
5980001,36,121.8
5990001,30,12.5261
6000001,42,6.57258
6010001,35,28.5263
6020001,36,49.2853
6030001,59,6.77997
6040001,37,26.1413
6050001,25,11.7126
6060001,26,23.5328
6070001,21,16.692
6080001,32,78.8179
6090001,43,5.26159
6100001,38,4.76804
6110001,39,5.45464
6120001,37,4.63109
6130001,35,30.8695
6140001,35,7.87817
6150001,28,25.0199
6160001,20,0.212105
6170001,42,5.41556
6180001,18,206.254
6190001,38,20.0515
6200001,30,60.3053
6210001,50,76.0845
6220001,28,79.4907
6230001,30,11.9036
6240001,38,44.3926
6250001,35,12.5857
6260001,22,7.40382
6270001,29,4.67252
6280001,23,29.0912
6290001,14,15.696
6300001,37,12.4685
6310001,32,36.5001
6320001,25,54.4772
6330001,34,6.74043
6340001,26,1.26011
6350001,36,78.9181
6360001,24,44.7801
6370001,21,54.029
6380001,23,8.41504
6390001,20,19.4032
6400001,24,1.02846
6410001,27,193.609
6420001,41,30.8912
6430001,19,41.4076
6440001,21,3.42982
6450001,49,4.45024
6460001,34,1.36894
6470001,37,9.58518
6480001,48,74.4785
6490001,10,6.33175
6500001,36,49.6922
6510001,25,0.0138959
6520001,22,9.01412
6530001,22,158.787
6540001,45,15.5543
6550001,28,60.7678
6560001,41,4.30663
6570001,40,62.6523
6580001,32,0.650621
6590001,25,34.3535
6600001,33,15.6262
6610001,19,104.876
6620001,31,52.5863
6630001,45,70.4927
6640001,38,8.22211
6650001,37,54.8763
6660001,40,86.6743
6670001,42,197.519
6680001,25,9.22814
6690001,45,14.9165
6700001,23,10.8762
6710001,37,48.75
6720001,15,167.116
6730001,50,18.9743
6740001,30,105.885
6750001,26,74.8496
6760001,32,52.2378
6770001,40,0.795912
6780001,28,1.42257
6790001,25,58.9815
6800001,52,72.0107
6810001,33,330.113
6820001,25,71.1441
6830001,23,28.9215
6840001,38,48.9173
6850001,42,25.8851
6860001,62,239.398
6870001,34,6.56164
6880001,33,19.4787
6890001,36,31.2738
6900001,36,40.0084
6910001,30,20.3083
6920001,39,76.9276
6930001,20,28.8298
6940001,25,8.11483
6950001,41,33.0561
6960001,24,51.1112
6970001,38,66.4318
6980001,34,13.6972
6990001,33,8.42613
7000001,13,47.4427
7010001,30,5.62555
7020001,37,67.1866
7030001,23,24.2171
7040001,60,26.024
7050001,34,36.8903
7060001,24,14.3978
7070001,27,55.0453
7080001,20,64.2902
7090001,43,102.919
7100001,22,214.812
7110001,31,6.66523
7120001,40,5.52468
7130001,25,51.4395
7140001,19,21.5995
7150001,35,9.67919
7160001,32,3.44972
7170001,47,12.9376
7180001,21,30.8115
7190001,38,2.36345
7200001,36,5.46823
7210001,50,34.023
7220001,53,29.6669
7230001,34,47.9218
7240001,26,63.5831
7250001,36,43.8497
7260001,28,0.546134
7270001,36,5.46414
7280001,34,38.0678
7290001,33,4.43311
7300001,31,46.7232
7310001,41,151.91
7320001,19,24.6963
7330001,25,86.2865
7340001,30,169.359
7350001,10,81.1581
7360001,38,4.07232
7370001,24,4.86824
7380001,17,3.55101
7390001,38,6.24417
7400001,35,35.4402
7410001,21,12.8723
7420001,43,260.853
7430001,12,3.87814
7440001,27,4.82423
7450001,33,19.6492
7460001,43,44.0628
7470001,22,27.2129
7480001,50,114.834
7490001,34,17.8387
7500001,42,70.4637
7510001,30,45.919
7520001,14,50.0551
7530001,38,35.5083
7540001,21,26.2818
7550001,33,24.4461
7560001,37,2.72708
7570001,42,4.48096
7580001,32,15.8683
7590001,26,74.3289
7600001,27,17.1299
7610001,39,123.096
7620001,25,202.956
7630001,32,132.228
7640001,20,39.4495
7650001,24,21.5257
7660001,25,3.30367
7670001,33,2.97455
7680001,34,41.539
7690001,25,38.8523
7700001,29,28.4222
7710001,49,35.5532
7720001,30,72.4039
7730001,34,2.41382
7740001,36,25.4221
7750001,31,4.74126
7760001,49,11.8994
7770001,33,34.0234
7780001,38,56.4214
7790001,23,28.4949
7800001,32,26.112
7810001,34,38.4698
7820001,28,16.5284
7830001,26,32.1931
7840001,34,18.8394
7850001,34,18.7846
7860001,28,60.4209
7870001,25,10.2194
7880001,33,11.7276
7890001,30,169.395
7900001,44,51.0145
7910001,24,3.23515
7920001,35,0.802409
7930001,37,57.5392
7940001,44,88.2593
7950001,31,36.4816
7960001,32,43.5268
7970001,42,91.143
7980001,71,11.892
7990001,44,48.3157
8000001,35,71.1071
8010001,44,60.297
8020001,33,26.3749
8030001,48,19.9254
8040001,34,41.6418
8050001,37,25.1247
8060001,33,22.034
8070001,43,15.9216
8080001,27,22.3558
8090001,47,64.4183
8100001,33,55.5596
8110001,19,93.8626
8120001,32,6.12874
8130001,21,16.3544
8140001,13,39.4427
8150001,23,92.428
8160001,50,208.71
8170001,30,73.6778
8180001,38,125.061
8190001,39,31.4764
8200001,36,10.9426
8210001,19,7.92222
8220001,25,145.026
8230001,46,46.5792
8240001,15,13.1725
8250001,42,153.667
8260001,27,16.3416
8270001,41,18.0437
8280001,44,105.5
8290001,36,156.685
8300001,33,98.2524
8310001,36,61.3638
8320001,45,32.7867
8330001,34,29.7213
8340001,34,0.813049
8350001,24,17.7769
8360001,30,62.0036
8370001,35,67.5652
8380001,33,30.2418
8390001,33,54.4309
8400001,46,72.2495
8410001,36,73.8243
8420001,51,31.6215
8430001,47,83.1843
8440001,39,42.233
8450001,40,44.1938
8460001,47,57.5255
8470001,32,23.8562
8480001,43,97.2284
8490001,26,63.9897
8500001,38,25.8831
8510001,28,148.834
8520001,43,378.708
8530001,15,69.8111
8540001,33,47.8533
8550001,30,36.5496
8560001,18,42.6891
8570001,20,13.4785
8580001,45,116.986
8590001,34,115.812
8600001,28,45.9828
8610001,23,1.90694
8620001,37,23.1648
8630001,43,58.8158
8640001,35,69.9667
8650001,33,101.264
8660001,33,51.6355
8670001,33,27.8641
8680001,26,14.4579
8690001,34,39.3164
8700001,38,21.3701
8710001,37,47.0341
8720001,28,2.70622
8730001,34,28.1417
8740001,29,30.3958
8750001,28,120.868
8760001,21,32.7164
8770001,18,92.021
8780001,45,26.363
8790001,47,6.15465
8800001,43,37.221
8810001,31,45.9381
8820001,29,32.3935
8830001,16,106.626
8840001,43,64.6684
8850001,38,152.851
