generation,rank_1,rank_2,swapAccepted
1000,3,4,1
2000,2,3,1
3000,1,3,1
4000,1,3,1
5000,1,3,1
6000,3,4,0
7000,3,4,1
8000,3,4,1
9000,1,2,1
10000,1,2,1
11000,1,3,1
12000,1,2,1
13000,1,2,1
14000,3,4,1
15000,1,2,1
16000,3,4,1
17000,2,3,1
18000,1,3,1
19000,3,4,1
20000,2,4,1
21000,2,4,1
22000,2,3,1
23000,2,3,1
24000,1,2,1
25000,2,3,1
26000,2,3,1
27000,1,2,1
28000,3,4,1
29000,2,4,1
30000,3,4,1
31000,1,4,1
32000,1,2,1
33000,1,3,1
34000,3,4,1
35000,3,4,1
36000,2,3,1
37000,1,2,1
38000,3,4,1
39000,2,4,0
40000,3,4,1
41000,1,4,1
42000,2,4,1
43000,1,2,0
44000,2,4,1
45000,2,3,1
46000,1,4,1
47000,1,3,1
48000,1,2,1
49000,1,3,1
50000,2,4,1
51000,1,3,1
52000,2,4,0
53000,1,4,1
54000,3,4,1
55000,1,2,1
56000,2,4,1
57000,1,3,1
58000,1,4,1
59000,2,3,1
60000,2,3,1
61000,1,4,1
62000,2,4,1
63000,3,4,1
64000,2,3,1
65000,3,4,1
66000,2,3,1
67000,1,4,1
68000,1,3,1
69000,2,4,1
70000,3,4,1
71000,1,3,1
72000,3,4,1
73000,1,3,0
74000,3,4,1
75000,1,4,0
76000,2,4,1
77000,2,3,1
78000,2,4,1
79000,2,4,1
80000,1,2,1
81000,1,4,1
82000,1,2,1
83000,1,3,0
84000,2,3,1
85000,2,4,1
86000,1,3,0
87000,1,2,0
88000,2,3,1
89000,2,3,1
90000,1,4,0
91000,1,4,1
92000,1,2,1
93000,1,2,1
94000,1,2,1
95000,1,3,0
96000,1,2,1
97000,2,4,1
98000,1,2,1
99000,2,3,1
100000,1,4,0
101000,2,3,1
102000,1,3,0
103000,1,2,1
104000,2,3,1
105000,3,4,1
106000,2,4,1
107000,3,4,1
108000,1,2,1
109000,2,3,1
110000,1,2,1
111000,1,4,1
112000,1,3,1
113000,1,2,1
114000,2,3,1
115000,3,4,1
116000,3,4,1
117000,2,3,1
118000,1,3,1
119000,1,3,1
120000,1,4,1
121000,2,4,1
122000,2,4,1
123000,3,4,1
124000,1,2,1
125000,3,4,1
126000,2,3,1
127000,3,4,1
128000,1,4,1
129000,3,4,1
130000,1,2,1
131000,1,3,1
132000,2,3,1
133000,1,3,1
134000,2,4,1
135000,2,4,1
136000,1,4,1
137000,1,2,1
138000,1,2,1
139000,1,2,1
140000,2,4,1
141000,2,4,1
142000,1,3,1
143000,1,3,1
144000,2,3,1
145000,2,4,1
146000,3,4,1
147000,3,4,1
148000,2,3,1
149000,2,4,0
150000,1,3,1
151000,3,4,1
152000,1,2,1
153000,2,4,1
154000,3,4,1
155000,3,4,1
