generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.37701,-10506.6,1,0
5000,0,-0.85141,-10149.4,0.379993,0.197361
10000,0,-2.31748,-10019,1.73111,0.1668
15000,0,-0.70038,-9996.57,0.0691034,0.180588
20000,1,-2.44763,-9959.99,1.23909,0.19505
25000,1,-2.25086,-9894.05,0.869888,0.240933
30000,2,-5.21364,-9874.57,2.27228,0.2579
35000,1,-3.0943,-9885.7,1.6968,0.1897
40000,2,-3.60851,-9888.15,1.31216,0.210995
45000,2,-2.85599,-9873.46,0.268929,0.2276
50000,1,-1.49752,-9885.65,0.043859,0.2176
55000,2,-4.55546,-9870.3,2.24532,0.2307
60000,1,-3.26314,-9880.37,1.84219,0.178
65000,1,-1.61542,-9882.98,0.22106,0.20914
70000,1,-1.73153,-9881.68,0.330129,0.1891
75000,2,-4.10297,-9868.9,1.23486,0.23395
80000,1,-1.81496,-9881.25,0.400506,0.1995
85000,2,-5.15654,-9878.88,2.61647,0.22
90000,3,-6.90293,-9867.13,1.75347,0.2326
95000,1,-1.83799,-9883.29,0.459196,0.194667
100000,2,-3.97942,-9868.16,1.66746,0.2109
105000,1,-1.57469,-9881.8,0.147465,0.186778
110000,1,-4.40101,-9881.87,2.97638,0.204044
115000,2,-2.97826,-9868.18,0.621811,0.243333
120000,1,-1.79596,-9884.56,0.326171,0.1866
125000,1,-1.9516,-9885.59,0.539586,0.2089
130000,1,-2.6519,-9883.13,1.23901,0.1982
135000,1,-1.67517,-9888.27,0.288383,0.183867
140000,1,-4.50863,-9883.41,3.12359,0.1755
145000,1,-2.43376,-9885.7,1.00815,0.1906
150000,1,-1.56183,-9883.78,0.0999142,0.2092
155000,2,-3.69323,-9868.52,0.793354,0.2233
160000,2,-3.08322,-9869.33,0.305879,0.2138
165000,2,-2.41041,-9875.14,0.292871,0.2074
170000,2,-5.91016,-9877.49,3.63947,0.2332
175000,1,-2.40723,-9883.68,0.990689,0.18024
180000,1,-2.33864,-9883.94,0.883896,0.190873
185000,1,-2.24929,-9885.35,0.80246,0.181775
190000,3,-3.3792,-9862.33,0.0946128,0.2318
195000,1,-2.28162,-9884.01,0.817144,0.189867
200000,1,-1.77351,-9883.35,0.328991,0.1624
205000,2,-2.69748,-9870.82,0.417103,0.265
210000,2,-2.63535,-9873.07,0.0385477,0.26165
215000,2,-3.77376,-9869.58,0.322712,0.2596
220000,2,-3.74072,-9884.38,0.539827,0.2504
225000,1,-6.00654,-9886.39,4.6077,0.23104
230000,1,-1.49981,-9883.08,0.0884298,0.1932
235000,2,-3.55013,-9872.8,0.91491,0.23345
240000,1,-1.98592,-9882.75,0.578859,0.18805
245000,2,-4.37533,-9882.98,0.426015,0.182
250000,1,-2.12782,-9881.88,0.690306,0.1748
255000,1,-4.40514,-9884.3,2.97615,0.196333
260000,1,-5.10572,-9885.79,3.65111,0.1826
265000,1,-1.83769,-9880.84,0.402074,0.1874
270000,3,-4.49757,-9873.26,0.749909,0.226143
275000,2,-2.67476,-9873.08,0.410229,0.2018
280000,3,-4.51936,-9869.14,0.898917,0.2488
285000,2,-3.41309,-9868.81,1.10354,0.201
290000,1,-2.05181,-9882.57,0.630044,0.188556
295000,2,-2.94171,-9873,0.415628,0.226
300000,1,-1.88165,-9881.73,0.437427,0.186543
305000,2,-2.4536,-9865.98,0.260934,0.1981
310000,1,-1.41323,-9885.16,0.035528,0.16555
315000,2,-4.2204,-9870.83,1.94362,0.2155
320000,2,-3.12302,-9873.65,0.0887851,0.2474
325000,2,-3.08296,-9867.35,0.255395,0.1912
330000,1,-2.22161,-9884.31,0.8013,0.181786
335000,1,-1.47135,-9882.21,0.0374589,0.20072
340000,2,-2.68573,-9867.28,0.402559,0.217133
345000,1,-2.16229,-9886.5,0.771462,0.1836
350000,1,-1.61645,-9883.17,0.217551,0.1694
355000,1,-2.19771,-9885.18,0.749495,0.193
360000,1,-2.15433,-9885.55,0.705522,0.1734
365000,3,-5.29091,-9868.94,0.987149,0.23256
370000,2,-3.0335,-9870.72,0.683684,0.2232
375000,1,-2.22335,-9887.11,0.821485,0.177267
380000,1,-2.13545,-9885.33,0.737139,0.192667
385000,2,-2.27876,-9871.06,0.0190574,0.245267
390000,1,-1.47209,-9882.05,0.03917,0.1713
395000,1,-1.39171,-9883.2,0.00662383,0.1941
400000,1,-1.88689,-9888.19,0.519407,0.1763
405000,1,-1.55141,-9884.58,0.15094,0.19155
410000,1,-3.82226,-9882,2.44391,0.2009
415000,1,-1.44302,-9887,0.0264819,0.187954
420000,1,-1.97519,-9881.48,0.539223,0.2005
425000,1,-2.82159,-9882.38,1.38116,0.1484
430000,1,-1.62326,-9885.96,0.185228,0.185
435000,1,-2.04443,-9885.43,0.655751,0.176
440000,1,-4.50413,-9885.71,3.08631,0.17092
445000,1,-1.90304,-9888.02,0.488321,0.205
450000,1,-1.60029,-9881,0.207374,0.1836
455000,1,-2.72075,-9885.37,1.29119,0.2036
460000,1,-1.55056,-9883.5,0.113652,0.182086
465000,1,-2.15875,-9885.49,0.781698,0.1729
470000,1,-3.43243,-9883.49,2.0148,0.18485
475000,1,-1.56967,-9882.75,0.129103,0.187
480000,1,-1.69827,-9884.77,0.277761,0.19535
485000,1,-4.00939,-9885.22,2.55513,0.1896
490000,1,-1.78086,-9886.21,0.416113,0.187553
495000,1,-1.70215,-9884.08,0.312112,0.1812
500000,1,-4.32423,-9883.3,2.88282,0.192667
505000,1,-3.94572,-9885.06,2.49204,0.1772
510000,1,-1.90597,-9885.69,0.490144,0.179133
515000,1,-2.55535,-9884.92,1.15671,0.1931
520000,1,-1.54194,-9886.82,0.131153,0.1964
525000,1,-1.91892,-9882.19,0.506155,0.196311
530000,2,-2.46114,-9881.06,0.355561,0.19056
535000,1,-2.75505,-9887.8,1.3271,0.1708
540000,1,-3.48428,-9881.19,2.04035,0.1778
545000,1,-2.03069,-9886.17,0.581453,0.178
550000,1,-2.61867,-9885.71,1.14407,0.2144
555000,1,-2.40266,-9880.49,0.977027,0.18124
560000,1,-2.43077,-9882.45,1.0107,0.183022
565000,2,-3.73724,-9884.78,1.00914,0.1872
570000,1,-2.99084,-9885,1.59078,0.171
575000,2,-4.97839,-9871.04,2.68939,0.2661
580000,2,-3.97597,-9869.95,1.40555,0.262
585000,1,-1.79559,-9883.55,0.393015,0.179229
590000,1,-3.39545,-9885.35,1.95395,0.1752
595000,1,-3.18014,-9885.96,1.73726,0.1729
600000,1,-2.11929,-9882.19,0.678377,0.1742
605000,1,-1.91612,-9882.09,0.454573,0.2254
610000,1,-2.99001,-9882.74,1.51946,0.1814
615000,2,-4.6841,-9882.04,1.25934,0.20485
620000,3,-5.52626,-9865.26,2.00556,0.267225
625000,2,-4.94377,-9884.16,0.738688,0.182067
630000,1,-1.94943,-9884.54,0.528795,0.1928
635000,1,-1.79177,-9883.79,0.385387,0.1734
640000,1,-4.99332,-9885.64,3.54323,0.1785
645000,1,-1.98287,-9882.3,0.539842,0.1944
650000,2,-2.70175,-9872.53,0.0723664,0.2851
655000,1,-4.37728,-9883.92,2.97491,0.190846
660000,1,-4.7563,-9882.03,3.31933,0.18615
665000,2,-2.10256,-9839.82,0.0236803,0.236067
670000,3,-5.05189,-9833.94,0.16702,0.2068
675000,2,-3.25052,-9884.88,1.11753,0.17885
680000,1,-2.88489,-9882.28,1.46216,0.1838
685000,2,-2.65499,-9838.11,0.461367,0.209467
690000,1,-2.27488,-9884.92,0.831807,0.211
695000,1,-2.53562,-9884.61,1.08601,0.207
700000,1,-3.0214,-9883.7,1.55168,0.19205
705000,2,-2.2408,-9834.87,0.13132,0.20135
710000,2,-3.22177,-9884.79,1.3738,0.1996
715000,2,-3.39571,-9837.61,1.18041,0.1967
720000,3,-3.87307,-9837.65,0.540601,0.2128
725000,1,-2.46112,-9884.81,1.00313,0.201575
730000,2,-4.24391,-9881.07,1.35071,0.192233
735000,2,-2.38711,-9841.01,0.192478,0.185133
740000,2,-3.85224,-9843.12,1.6426,0.1936
745000,2,-2.67434,-9837.57,0.456467,0.186
750000,2,-4.40956,-9836.57,2.20595,0.175
755000,2,-2.966,-9836.23,0.763547,0.1994
760000,2,-2.32979,-9839.29,0.0959755,0.1742
765000,1,-2.46934,-9884.82,1.01837,0.204636
770000,1,-4.79563,-9884.18,3.33428,0.181525
775000,1,-3.12715,-9887.16,1.66938,0.19518
780000,2,-3.42257,-9838.88,1.15976,0.1908
785000,3,-5.90042,-9841.96,1.25575,0.2098
790000,2,-2.60571,-9835.27,0.356507,0.2094
795000,2,-4.32625,-9838.52,2.04864,0.172
800000,2,-4.39707,-9839.7,2.16322,0.1802
805000,2,-2.58249,-9838.56,0.339931,0.2036
810000,1,-1.81107,-9883.8,0.373404,0.177067
815000,2,-3.02047,-9840.75,0.819316,0.1991
820000,2,-3.55217,-9880.43,0.652674,0.1784
825000,2,-4.53173,-9841.96,2.36622,0.1864
830000,2,-5.20394,-9886.64,0.306772,0.180633
835000,2,-9.29005,-9842.72,7.11625,0.1937
840000,2,-4.04436,-9845.92,1.8414,0.1832
845000,1,-2.97721,-9887.62,1.57567,0.183057
850000,2,-2.54158,-9841.66,0.359915,0.1969
855000,1,-1.4297,-9883.99,0.00291745,0.182
860000,2,-7.24747,-9839.97,5.05626,0.2018
865000,1,-1.60709,-9883.63,0.165234,0.19095
870000,1,-1.4469,-9884.58,0.0308046,0.191075
875000,1,-1.44065,-9881.86,0.00081079,0.1789
880000,2,-7.49631,-9839.9,5.32729,0.188
885000,1,-1.48501,-9883.18,0.0383186,0.1915
890000,1,-2.20463,-9886.25,0.797926,0.18065
895000,2,-4.09386,-9884.06,0.509874,0.203
900000,1,-2.08522,-9884.44,0.616163,0.1818
905000,1,-1.81103,-9884.01,0.381479,0.182167
910000,1,-1.90817,-9882.75,0.482418,0.1952
915000,2,-4.47014,-9875.74,0.0356276,0.2304
920000,2,-2.49064,-9853.84,0.325249,0.21895
925000,2,-6.10598,-9878.06,3.48624,0.1989
930000,2,-3.05536,-9836.14,0.835609,0.21196
935000,2,-3.05995,-9838.01,0.859759,0.2154
940000,2,-3.46144,-9835.56,1.26633,0.2146
945000,1,-1.48342,-9884.88,0.0234303,0.195933
950000,1,-2.87394,-9889.38,1.43949,0.18632
955000,3,-5.21076,-9827.97,2.30233,0.233667
960000,1,-3.24748,-9885.88,1.81343,0.176133
965000,4,-7.31744,-9826.76,0.10485,0.2569
970000,4,-5.36574,-9828.47,0.213242,0.230029
975000,1,-2.02773,-9883.77,0.615208,0.1974
980000,3,-3.26201,-9822.02,0.0584532,0.2518
985000,3,-4.89987,-9824.65,1.85692,0.24785
990000,3,-3.70545,-9826.74,0.621796,0.2506
995000,3,-3.20256,-9823.67,0.126882,0.2502
