generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-154.016,-778166,1,0
25001,4,66.7855,-22754,0.547136,0.3498
50001,5,85.2198,-22713.3,0.913439,0.3224
75001,4,69.3272,-22709,0.498876,0.3084
100001,5,85.9471,-22709.8,0.0919584,0.3088
125001,4,69.8012,-22707.9,0.46248,0.295
150001,4,70.2996,-22701.3,0.0432651,0.3181
175001,4,69.3632,-22691.1,0.180325,0.312
200001,4,66.8164,-22701,0.508044,0.2828
225001,4,69.6258,-22686.2,0.711609,0.3006
250001,6,95.4629,-22680.1,0.914008,0.312
275001,4,67.2937,-22678.8,1.41038,0.2678
300001,5,84.35,-22678.5,0.454526,0.2818
325001,4,68.6294,-22686.4,0.259501,0.2768
350001,4,69.9197,-22674.5,0.303916,0.2881
375001,4,70.2251,-22678.6,0.114634,0.2704
400001,4,68.7448,-22676,0.0772251,0.2705
425001,4,67.8189,-22669.4,0.743098,0.2474
450001,5,84.1622,-22669.3,0.249871,0.2543
475001,5,81.3414,-22664.5,1.31291,0.2678
500001,4,64.9222,-22662.5,3.20103,0.2945
525001,4,66.8107,-22665.3,1.01302,0.2486
550001,6,100.309,-22666.1,0.14051,0.2681
575001,5,82.9655,-22642.1,0.896932,0.2746
600001,4,65.3439,-22450.3,0.84779,0.2775
625001,4,67.3034,-22452.9,0.133498,0.2606
650001,6,93.7476,-22450.5,1.20414,0.2328
675001,4,65.9476,-22454.4,0.721712,0.2346
700001,4,63.5171,-22453.9,1.37672,0.2717
725001,4,63.7956,-22457.9,0.640378,0.2702
750001,4,61.2895,-22453.8,0.4343,0.2304
775001,4,66.9107,-22452.9,0.767936,0.232
800001,5,78.8556,-22452.9,1.87194,0.2537
825001,3,49.8427,-22458.9,1.14376,0.2422
850001,4,66.4255,-22463.2,0.328072,0.2589
875001,3,49.8235,-22458.8,0.891128,0.257
900001,3,44.9854,-22463.4,1.36018,0.2725
925001,4,64.9945,-22450.6,1.82602,0.3062
950001,3,50.8791,-22451.1,1.19142,0.2551
975001,3,50.115,-22453.4,1.11594,0.2948
1000001,3,49.6908,-22454.1,1.7162,0.2617
1025001,3,51.1623,-22457.6,0.960864,0.2608
1050001,3,49.7577,-22455.9,1.762,0.2641
1075001,3,49.341,-22452.3,0.0204749,0.272
1100001,4,64.9184,-22446.5,1.39757,0.274
1125001,4,67.2858,-22447.9,0.26412,0.2698
