generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,18403,21452,0,0.032,0,0.005,0
10001,18403,21452,0,0.0141153,0,0.0138836,0
10001,20503,25605,54429.3,0.000592294,-3.28257e-006,0.000728357,0
10001,12409,20307,51551.5,8.97476e-005,3.31448e-006,0.000189063,0
10001,17772,21516,75824.3,0.000209419,1.25302e-005,0.000256211,0
10001,12299,10682,27753.9,0.00025315,5.2659e-007,0.000299994,0
10001,12576,18646,17969.6,0.000150281,-1.33302e-005,0.000165802,0
10001,24141,21700,45691.3,0.000319997,-2.65935e-006,0.000557695,0
10001,19414,22556,77117.8,0.00029439,1.19657e-005,0.000806583,0
10001,23484,7986,221.127,0.000340798,1.0735e-006,0.000359098,0
10001,10309,22488,72817.3,6.0755e-005,1.06974e-005,3.05306e-005,0
10001,16018,18320,19362,5.54804e-005,-1.11011e-006,5.22772e-005,0
10001,21064,17606,66430.6,0.000292018,1.24334e-006,0.000419068,0
10001,21030,NA,25032.5,0.000284905,3.32725e-006,0.000405569,0
10001,19388,NA,68663.5,0.000286268,-4.95511e-006,0.000836382,0
10001,22132,973,4843.98,0.000185865,-3.41271e-007,0.00017022,0
10001,9313,NA,74807.1,1.08166e-005,9.789e-006,0.000304977,0
10001,21864,NA,82439.1,0.000136032,1.7454e-005,0.000524294,0
10001,17428,NA,84744.3,3.39549e-005,-0.000178293,0.00038145,0
10001,16577,19383,64413.9,2.39722e-005,1.37863e-005,2.46929e-006,0
10001,21054,NA,17492.3,0.000205573,-1.65004e-005,0.000190483,0
10001,24381,20534,2864.84,3.15526e-005,1.05386e-005,5.10687e-005,0
10001,5697,18510,37772.2,6.4399e-005,-1.68096e-007,0.000202774,0
10001,22282,21009,56277.9,9.68025e-005,-1.58277e-005,0.000292222,0
10001,17473,23649,70224.1,0.000189596,-1.31772e-005,0.000669246,0
10001,23382,NA,86293.3,0.000154505,-0.000205285,0.000640651,0
10001,17478,NA,78563.7,4.21127e-005,6.93083e-006,0.000913875,0
10001,17071,NA,82313.6,0.000583098,-0.00158188,0.000307951,0
10001,13147,19726,48139.6,9.97075e-005,7.37066e-006,0.000232093,0
10001,23498,25628,71428.8,0.000234858,-7.74851e-006,0.000821813,0
10001,10403,21879,56368.3,0.000260264,1.22178e-005,0.000576801,0
10001,18089,19062,5407.59,0.000130378,-7.32346e-007,0.000100179,0
10001,13534,14937,24155.8,0.000118261,1.93573e-005,0.000327527,0
10001,21026,16540,50560.3,0.000128766,1.77611e-005,0.000238446,0
10001,9343,NA,69421.4,0.000329239,1.88722e-005,0.000362204,0
10001,22689,21581,54728.6,0.000380201,-1.55604e-006,0.000285418,0
20001,18403,21452,0,0.0141153,0,0.0138836,0
20001,20503,25605,51101.5,0.000574597,-3.28257e-006,0.000764832,0
20001,17772,21516,64612,0.00020453,1.25302e-005,0.000143646,0
20001,12409,17772,36953.9,0.000143566,3.31448e-006,0.000162041,0
20001,12299,10682,25378.7,0.000193687,5.2659e-007,0.000243003,0
20001,14734,23743,75331.9,0.000252725,9.92949e-006,0.000749353,0
20001,14360,24760,62911.7,0.000199397,-3.24215e-006,0.000297707,0
20001,24141,21700,40918.1,0.000253839,-2.65935e-006,0.000433355,0
20001,15615,24585,74412.9,0.000299261,5.42229e-006,0.00055148,0
20001,22832,11208,11998.2,0.000156427,1.41041e-005,0.000188842,0
20001,17994,25673,72839.5,0.000234307,-7.80001e-006,0.000323164,0
20001,18167,NA,90747.2,5.77652e-005,-2.69056e-005,0.00094561,0
20001,19414,22556,59575,0.00028089,1.19657e-005,0.000529185,0
20001,23484,7986,221.127,0.000347458,1.0735e-006,0.000366004,0
20001,9956,24530,31315.4,0.000340614,-4.00115e-007,0.000430781,0
20001,10309,22488,66930.2,7.89146e-005,1.06974e-005,8.78378e-005,0
20001,19465,21715,43887.2,0.000463204,-1.33302e-005,0.000338737,0
20001,23851,23568,71151.8,0.000106651,2.09515e-006,7.10344e-005,0
20001,14671,21348,74830.5,0.000263396,1.75003e-006,0.000602801,0
20001,15842,NA,77804.5,0.000425843,-0.000775324,0.000525564,0
20001,16577,19383,54747,3.19714e-005,1.37863e-005,6.23376e-005,0
20001,16553,NA,78879.2,0.000430444,-0.0055636,0.000407132,0
20001,16950,24078,52169.6,0.000382556,-2.49896e-007,0.000608571,0
20001,14661,12688,4349.2,0.000237801,1.17805e-005,0.00041279,0
20001,22399,NA,95076.1,0.000261141,-0.000735296,0.00175489,0
20001,22918,21383,65279.3,0.000111127,-3.14208e-006,0.000154135,0
20001,20309,13147,39199.7,0.000135353,7.37066e-006,0.000183276,0
20001,10403,21879,53820,0.000382705,1.22178e-005,0.000727968,0
20001,19388,NA,72201.4,0.000165741,-4.95511e-006,0.000697426,0
20001,1896,20932,63129.6,0.000313631,2.9717e-006,0.000613534,0
20001,9313,NA,72468.6,2.28744e-005,9.789e-006,0.000311779,0
20001,3334,8990,20058.6,3.36982e-005,1.1178e-005,0.000105054,0
20001,21491,23199,83484.1,0.00021027,-3.89767e-006,0.000256293,0
20001,25409,NA,80554.8,9.44982e-005,-1.57712e-005,0.00129104,0
20001,21054,NA,5813.12,0.000280338,-1.65004e-005,0.000186827,0
20001,18178,25202,55826,0.000486467,-1.41168e-005,0.000244482,0
20001,24381,20534,2864.84,1.96833e-005,1.05386e-005,1.7179e-005,0
20001,5697,18510,39862.9,0.000109885,-1.68096e-007,0.000159167,0
20001,1863,21780,76506,0.000416886,-8.30718e-006,0.000409541,0
20001,15240,17734,60881.4,0.000463695,7.01904e-006,0.000651251,0
20001,11774,NA,38343.1,0.000103108,1.88722e-005,0.000337331,0
20001,21231,3743,13538.2,0.000457964,-1.50202e-005,0.000162709,0
20001,22282,21009,60524.1,7.93484e-005,-2.33702e-005,0.00039646,0
