generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,3,1
3000,1,3,1
4000,2,4,1
5000,1,3,1
6000,3,4,1
7000,1,2,1
8000,2,4,1
9000,2,3,1
10000,3,4,1
11000,1,4,1
12000,3,4,1
13000,3,4,1
14000,3,4,1
15000,1,4,1
16000,1,3,1
17000,2,4,1
18000,2,3,1
19000,2,3,1
20000,1,2,1
21000,2,3,1
22000,1,2,1
23000,2,3,1
24000,1,2,1
25000,3,4,1
26000,3,4,1
27000,1,3,1
28000,2,3,1
29000,1,3,1
30000,1,3,1
31000,1,2,1
32000,1,3,1
33000,1,4,1
34000,1,4,1
35000,3,4,1
36000,2,4,1
37000,2,4,1
38000,3,4,1
39000,1,2,1
40000,3,4,1
41000,1,3,1
42000,2,4,1
43000,3,4,1
44000,3,4,1
45000,1,4,1
46000,1,2,1
47000,1,4,1
48000,2,4,1
49000,2,4,1
50000,2,3,1
51000,2,3,1
52000,1,2,1
53000,1,3,1
54000,2,4,1
55000,2,4,1
56000,1,4,1
57000,1,2,1
58000,2,3,1
59000,1,2,1
60000,1,2,1
61000,1,2,1
62000,3,4,1
63000,1,2,1
64000,2,3,1
65000,2,4,1
66000,2,3,1
67000,1,2,1
68000,1,4,1
69000,1,2,0
70000,1,2,1
71000,3,4,1
72000,2,4,1
73000,2,4,1
74000,1,4,0
75000,3,4,1
76000,1,2,1
77000,1,4,1
78000,1,3,1
79000,2,4,1
80000,1,3,1
81000,1,3,1
82000,2,3,1
83000,2,3,1
84000,2,4,1
85000,1,4,1
86000,1,4,1
87000,2,3,1
88000,1,2,1
89000,1,4,1
90000,1,3,1
91000,3,4,1
92000,3,4,1
93000,1,3,1
94000,3,4,1
95000,3,4,1
96000,3,4,1
97000,1,2,1
98000,2,3,1
99000,1,2,1
100000,1,4,1
101000,1,2,1
102000,1,3,1
103000,2,3,1
104000,1,4,1
105000,1,3,1
106000,1,4,1
107000,3,4,1
108000,2,4,1
109000,2,4,1
110000,1,2,1
111000,2,4,1
112000,1,4,1
113000,1,4,1
114000,2,3,1
115000,1,2,1
116000,1,4,1
117000,1,3,1
118000,1,4,1
119000,3,4,1
120000,3,4,1
121000,3,4,1
122000,1,4,1
123000,1,4,1
124000,1,3,1
125000,3,4,1
126000,1,4,1
127000,1,4,1
128000,2,4,1
129000,1,3,1
130000,1,3,1
131000,1,4,1
132000,1,3,1
133000,1,3,1
134000,1,4,1
135000,1,3,1
136000,2,3,1
137000,2,3,1
138000,3,4,1
139000,2,4,1
140000,3,4,1
141000,2,3,1
142000,1,2,1
143000,1,3,1
144000,1,2,1
145000,3,4,1
146000,3,4,1
147000,1,2,1
148000,1,2,1
149000,3,4,1
150000,1,3,1
151000,1,3,1
152000,2,4,1
153000,1,4,1
154000,2,4,1
155000,1,4,1
156000,2,4,1
157000,2,4,1
158000,3,4,1
159000,1,4,1
160000,2,3,1
161000,1,4,1
162000,1,4,1
163000,2,3,0
164000,1,3,1
165000,1,3,1
166000,2,3,1
167000,2,4,1
168000,1,2,1
169000,3,4,1
170000,1,2,1
171000,3,4,1
172000,3,4,1
173000,3,4,1
174000,2,3,1
175000,2,3,1
176000,1,4,1
177000,1,2,1
178000,2,4,1
179000,3,4,1
180000,1,4,1
181000,1,2,1
182000,1,4,1
183000,1,2,1
184000,1,3,1
185000,1,3,1
186000,1,2,1
187000,1,3,1
188000,3,4,1
189000,2,4,1
190000,3,4,1
191000,3,4,1
192000,1,4,1
193000,2,3,1
194000,2,4,1
195000,2,3,1
196000,1,2,1
197000,2,3,1
198000,1,3,1
199000,2,4,1
200000,2,4,1
201000,3,4,1
202000,2,4,1
203000,1,4,1
204000,3,4,1
205000,1,2,1
