generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,18403,21452,0,0.032,0,0.005,0
5000,18403,21452,0,0.0894849,-0.00299295,0.0585074,0
10000,18403,21452,0,0.128875,-0.00566439,0.0797718,0
15000,18403,21452,0,0.155288,-0.00693505,0.0907703,0
20000,18403,21452,0,0.192133,-0.00821016,0.112962,0
20000,22335,NA,99.025,1.57461,-0.199446,1.3324,0
20000,17831,NA,54.4047,0.0285918,0.120282,0.0835095,0
25000,18403,21452,0,0.197561,-0.00797345,0.119787,0
30000,18403,21452,0,0.219806,-0.00904363,0.123992,0
35000,18403,21452,0,0.223609,-0.00915032,0.126383,0
40000,18403,21452,0,0.245463,-0.00946072,0.138233,0
45000,18403,21452,0,0.247247,-0.00975769,0.1395,0
45000,24332,25041,97.001,1.18737,-0.173172,0.109751,0
50000,18403,21452,0,0.265153,-0.0095224,0.1515,0
55000,18403,21452,0,0.274685,-0.00982492,0.154791,0
60000,18403,21452,0,0.281203,-0.00965018,0.160834,0
65000,18403,21452,0,0.289954,-0.010344,0.158582,0
70000,18403,21452,0,0.283955,-0.0104942,0.155265,0
75000,18403,21452,0,0.288238,-0.0105369,0.157476,0
80000,18403,21452,0,0.271866,-0.0105099,0.145746,0
85000,18403,21452,0,0.284093,-0.0102628,0.154745,0
90000,18403,21452,0,0.278428,-0.0103444,0.151374,0
90000,3520,NA,98.0673,0.424671,-0.131137,1.5529,0
95000,18403,21452,0,0.280501,-0.0103658,0.153875,0
100000,18403,21452,0,0.282192,-0.0103945,0.15254,0
105000,18403,21452,0,0.279554,-0.0103452,0.15299,0
110000,18403,21452,0,0.275834,-0.0103233,0.148561,0
115000,18403,21452,0,0.274473,-0.0104476,0.147682,0
120000,18403,21452,0,0.282552,-0.0107638,0.15172,0
125000,18403,21452,0,0.278543,-0.0103814,0.151838,0
130000,18403,21452,0,0.285135,-0.0103814,0.155115,0
135000,18403,21452,0,0.298614,-0.0109622,0.158142,0
140000,18403,21452,0,0.304347,-0.0109622,0.16077,0
145000,18403,21452,0,0.305379,-0.0112477,0.159358,0
150000,18403,21452,0,0.29832,-0.0115603,0.152718,0
155000,18403,21452,0,0.285065,-0.0109433,0.150543,0
160000,18403,21452,0,0.274948,-0.0111341,0.142438,0
160000,22453,NA,99.309,2.00268,0.122422,0.249371,0
165000,18403,21452,0,0.284462,-0.0111341,0.14937,0
170000,18403,21452,0,0.285441,-0.0111341,0.148886,0
