generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.37701,-11310.9,1,0
5000,0,-0.739823,-11066.5,0.25173,0.266147
10000,0,-0.847262,-10974.1,0.298283,0.213879
15000,0,-0.776749,-10928.9,0.190198,0.1863
20000,2,-4.94696,-10870.8,0.0595894,0.211689
25000,0,-1.14104,-10871.8,0.483044,0.1872
30000,0,-1.28102,-10841.9,0.596389,0.1953
35000,0,-1.04753,-10838.1,0.356688,0.1893
40000,0,-0.987793,-10825.1,0.263191,0.2092
45000,1,-5.68362,-10821.1,3.01889,0.2052
50000,0,-1.48817,-10820.6,0.730605,0.20308
55000,0,-0.797555,-10816.7,0.0271031,0.208467
60000,0,-0.967877,-10819.2,0.184898,0.1869
65000,0,-0.9231,-10813.2,0.133483,0.2198
70000,0,-0.791441,-10813.5,0.0111081,0.1756
75000,0,-2.08095,-10813.6,1.29412,0.1324
80000,0,-0.776818,-10813.8,0.0180906,0.192114
85000,0,-2.33543,-10813.9,1.55553,0.174567
90000,1,-4.76828,-10811.7,1.50784,0.1704
95000,0,-0.821169,-10813.4,0.0457079,0.1782
100000,0,-1.23379,-10813.4,0.457972,0.1762
105000,0,-1.24548,-10813.1,0.471853,0.1678
110000,0,-2.02398,-10815,1.25851,0.187635
115000,0,-0.996975,-10813.6,0.233717,0.1768
120000,0,-0.915444,-10812.9,0.140003,0.2032
125000,0,-0.7753,-10813,0.00383027,0.183778
130000,0,-1.96109,-10812.9,1.17976,0.147
135000,0,-1.58968,-10813.6,0.791713,0.183775
140000,0,-0.842651,-10815,0.0363213,0.1428
145000,0,-1.55303,-10815.8,0.747015,0.224
150000,0,-1.42768,-10816.9,0.635296,0.180675
155000,0,-2.51101,-10812.8,1.73419,0.175914
160000,1,-3.69742,-10816.5,0.196856,0.1878
165000,0,-1.24528,-10813.7,0.470199,0.2066
170000,0,-1.58265,-10813.8,0.807067,0.1878
175000,1,-3.49722,-10813.7,0.592861,0.1508
180000,0,-1.39914,-10817.1,0.609152,0.17952
185000,0,-4.3014,-10813.4,3.51891,0.1616
190000,0,-0.982838,-10812.6,0.210968,0.170711
195000,0,-2.13283,-10813.6,1.34967,0.1668
200000,2,-4.20294,-10815.5,0.576749,0.1774
205000,0,-1.36983,-10814.1,0.60165,0.1685
210000,0,-0.889761,-10813.1,0.124841,0.18005
215000,0,-1.11004,-10812.7,0.337105,0.1996
220000,0,-0.886359,-10813.4,0.113062,0.1744
225000,0,-1.71433,-10814.9,0.938545,0.17338
230000,0,-0.939788,-10812.8,0.149337,0.2015
235000,1,-3.4522,-10809.7,1.4668,0.187171
240000,0,-1.03868,-10813.8,0.259434,0.1847
245000,0,-1.21089,-10813.3,0.41956,0.3028
250000,1,-3.92311,-10814.7,1.23706,0.21428
255000,0,-1.55778,-10812.5,0.772805,0.197756
260000,0,-4.5714,-10812.5,3.79786,0.22692
265000,0,-3.08317,-10813.2,2.30531,0.1866
270000,0,-1.99252,-10815.8,1.18323,0.2029
275000,0,-0.822497,-10814.5,0.0442282,0.1745
280000,0,-1.3279,-10816.9,0.515692,0.1875
285000,2,-5.17928,-10814,0.808966,0.1914
290000,0,-1.43792,-10813.3,0.652607,0.187444
295000,0,-0.814407,-10814.6,0.0176689,0.1876
300000,0,-3.28892,-10815.6,2.48367,0.19925
305000,0,-0.79385,-10812.5,0.0134651,0.190067
310000,0,-1.20665,-10816.9,0.386073,0.18904
315000,0,-0.932642,-10817.1,0.124211,0.194867
320000,0,-2.53814,-10813.7,1.74239,0.20132
325000,0,-5.23152,-10816.5,4.43843,0.1948
330000,0,-1.12603,-10815.8,0.326059,0.1924
335000,0,-0.862921,-10816.3,0.107121,0.199833
340000,0,-1.34544,-10813.3,0.57498,0.1903
345000,1,-5.54709,-10813.4,4.08876,0.1828
350000,0,-1.0483,-10816.5,0.252313,0.19168
355000,0,-3.18805,-10816.3,2.39562,0.189533
360000,1,-6.50423,-10814.1,4.43106,0.179633
365000,0,-1.87301,-10814.5,1.0826,0.1926
370000,0,-1.88762,-10813.4,1.1189,0.1934
375000,0,-0.927238,-10814,0.165297,0.197533
380000,0,-0.87317,-10815,0.110654,0.1919
385000,0,-2.458,-10813.8,1.70201,0.2062
390000,0,-1.13018,-10814.4,0.365335,0.1956
395000,0,-2.00177,-10812.9,1.23696,0.1889
400000,0,-1.75385,-10812.5,0.981302,0.3358
