generation,N_shifts,eventRate
1,1,50
10001,27,39.433
20001,31,10.8139
30001,45,86.1909
40001,32,14.6578
50001,35,21.1988
60001,52,11.7904
70001,43,9.17288
80001,41,303.029
90001,41,104.99
100001,19,59.8118
110001,32,7.45832
120001,35,5.68929
130001,21,8.44565
140001,46,120.072
150001,45,99.4466
160001,31,9.36894
170001,24,47.6446
180001,23,10.3298
190001,35,95.2695
200001,66,2.78229
210001,57,91.8245
220001,31,56.4283
230001,31,100.118
240001,23,52.838
250001,38,27.8737
260001,46,16.1259
270001,17,24.7363
280001,57,59.5776
290001,28,9.39198
300001,37,13.7319
310001,26,40.1046
320001,29,7.65172
330001,28,40.5531
340001,39,8.3924
350001,31,37.6866
360001,46,42.8941
370001,41,40.7497
380001,37,27.2766
390001,45,21.2914
400001,43,222.345
410001,15,4.96326
420001,32,7.56614
430001,23,41.9756
440001,42,26.3764
450001,28,9.53042
460001,33,51.5602
470001,48,37.8336
480001,22,41.5504
490001,50,20.2442
500001,30,0.321975
510001,25,71.234
520001,23,99.6631
530001,19,27.2283
540001,36,108.498
550001,36,18.6039
560001,39,57.4379
570001,49,31.7375
580001,28,6.68459
590001,44,19.7956
600001,31,10.0578
610001,33,31.7625
620001,33,44.3449
630001,45,33.6678
640001,25,47.8651
650001,23,44.8206
660001,37,34.288
670001,33,102.939
680001,26,79.0015
690001,41,22.4257
700001,28,90.6711
710001,49,32.1334
720001,30,263.777
730001,35,11.46
740001,33,12.5255
750001,28,55.6108
760001,29,52.5489
770001,42,5.18372
780001,49,31.3282
790001,32,10.2409
800001,34,28.6351
810001,32,39.912
820001,33,4.07301
830001,21,40.153
840001,28,75.4003
850001,25,70.8872
860001,39,23.8065
870001,43,16.0348
880001,35,10.6305
890001,34,111.705
900001,27,83.142
910001,27,4.82128
920001,31,70.9657
930001,28,134.486
940001,29,42.2548
950001,31,32.6417
960001,44,3.6268
970001,43,111.28
980001,37,132.105
990001,36,210.912
1000001,35,28.3767
1010001,20,15.6297
1020001,23,51.0129
1030001,33,1.55516
1040001,45,15.6515
1050001,37,4.10449
1060001,39,5.60908
1070001,38,17.3745
1080001,32,81.2285
1090001,33,4.71358
1100001,40,104.311
1110001,23,35.9353
1120001,27,24.8993
1130001,24,91.1429
1140001,20,0.34494
1150001,36,74.4734
1160001,46,53.6361
1170001,35,181.081
1180001,26,0.437677
1190001,33,113.987
1200001,27,16.7909
1210001,32,29.9055
1220001,41,67.588
1230001,37,16.2285
1240001,49,28.2261
1250001,40,92.4101
1260001,40,59.8045
1270001,34,60.99
1280001,36,9.63073
1290001,45,182.922
1300001,25,11.3281
1310001,27,44.7358
1320001,26,59.8883
1330001,24,79.3985
1340001,45,6.88627
1350001,24,5.39356
1360001,21,49.1906
1370001,32,80.6832
1380001,44,23.4533
1390001,35,53.2481
1400001,22,70.8087
1410001,29,130.295
1420001,16,5.06312
1430001,28,30.4124
1440001,38,19.4738
1450001,30,63.015
1460001,44,11.4579
1470001,42,32.4694
1480001,25,0.836235
1490001,27,7.35686
1500001,33,19.3757
1510001,36,78.7566
1520001,38,40.1405
1530001,39,33.6508
1540001,25,5.99201
1550001,26,15.2136
1560001,31,40.024
1570001,36,47.0154
1580001,15,27.2679
1590001,57,36.6441
1600001,30,124.579
1610001,59,94.7904
1620001,34,29.9226
1630001,30,36.4822
1640001,28,23.0456
1650001,33,94.3127
1660001,31,8.76879
1670001,17,142.197
1680001,39,51.9512
1690001,46,82.814
1700001,28,21.285
1710001,48,48.5892
1720001,28,12.8756
1730001,21,68.0368
1740001,25,16.1608
1750001,48,23.8616
1760001,26,26.6461
1770001,28,4.03965
1780001,39,39.3759
1790001,24,17.3107
1800001,28,57.9646
1810001,25,15.4462
1820001,39,17.9895
1830001,34,26.3259
1840001,47,51.9497
1850001,42,206.452
1860001,50,71.0193
1870001,39,45.7326
1880001,39,20.8964
1890001,30,73.6967
1900001,15,23.5154
1910001,32,32.8363
1920001,37,11.3039
1930001,18,2.33613
1940001,36,64.6796
1950001,43,141.532
1960001,39,27.7344
1970001,23,13.8206
1980001,27,76.4813
1990001,39,24.1463
2000001,33,39.2613
2010001,43,39.1819
2020001,25,66.9046
2030001,28,42.0884
2040001,31,26.7781
2050001,23,1.89022
2060001,25,43.2138
2070001,38,116.863
2080001,27,4.67402
2090001,33,72.3567
2100001,42,12.9334
2110001,44,0.713543
2120001,30,8.22807
2130001,13,100.427
2140001,40,65.4303
2150001,17,48.2274
2160001,27,260.808
2170001,31,9.72514
2180001,24,103.009
2190001,33,54.1459
2200001,35,0.0976177
2210001,22,162.897
2220001,50,254.599
2230001,43,55.6879
2240001,40,16.6217
2250001,28,96.1394
2260001,39,8.25742
2270001,22,35.078
2280001,23,103.035
2290001,27,5.60802
2300001,38,10.4158
2310001,46,92.6958
2320001,43,162.651
2330001,32,9.05621
2340001,24,26.8172
2350001,39,8.93901
2360001,37,56.3479
2370001,28,33.8802
2380001,33,50.3988
2390001,57,17.4632
2400001,28,44.5957
2410001,27,62.5185
2420001,35,144.6
2430001,33,25.0687
2440001,25,134.66
2450001,33,83.8619
2460001,43,61.1926
2470001,25,10.342
2480001,29,1.45422
2490001,28,14.327
2500001,33,107.455
2510001,37,4.94469
2520001,38,28.8135
2530001,33,23.6914
2540001,29,98.5499
2550001,36,17.4499
2560001,39,7.31633
2570001,31,27.119
2580001,37,71.5595
2590001,20,26.6875
2600001,23,10.9974
2610001,34,9.95709
2620001,36,177.799
2630001,22,137.236
2640001,36,15.1118
2650001,22,183.013
2660001,20,60.8718
2670001,25,112.559
2680001,57,149.866
2690001,43,17.3095
2700001,32,1.72217
2710001,25,5.25567
2720001,20,20.1925
2730001,38,17.5333
2740001,28,51.1046
2750001,25,89.5256
2760001,31,1.74788
2770001,26,2.00077
2780001,45,32.0171
2790001,30,94.0902
2800001,37,3.41181
2810001,25,309.374
2820001,30,33.6373
2830001,29,117.736
2840001,33,62.51
2850001,34,61.4963
2860001,43,53.7865
2870001,24,40.408
2880001,26,8.22799
2890001,27,53.5735
2900001,36,34.4639
2910001,26,6.68749
2920001,41,57.9035
2930001,29,80.718
2940001,27,28.381
2950001,32,13.1504
2960001,32,0.360663
2970001,37,43.1214
2980001,16,40.3302
2990001,43,165.985
3000001,22,31.8849
3010001,46,35.3456
3020001,23,78.0515
3030001,27,72.151
3040001,21,42.1046
3050001,31,12.4111
3060001,35,51.1832
3070001,23,26.1458
3080001,36,4.49417
3090001,16,32.3052
3100001,34,86.0524
3110001,18,14.7457
3120001,26,10.6621
3130001,41,29.3496
3140001,50,17.4251
3150001,35,42.4284
3160001,47,14.9302
3170001,15,0.761273
3180001,35,115.218
3190001,42,16.9413
3200001,27,23.0442
3210001,22,75.931
3220001,26,44.3704
3230001,43,152.138
3240001,40,22.9555
3250001,36,70.7584
3260001,35,152.024
3270001,23,45.0643
3280001,14,139.064
3290001,39,3.28352
3300001,29,4.18303
3310001,15,69.1675
3320001,23,33.5705
3330001,38,62.4535
3340001,27,91.4512
3350001,39,98.1936
3360001,19,114.389
3370001,42,164.75
3380001,29,95.1257
3390001,27,66.2858
3400001,27,139.814
3410001,41,56.5339
3420001,34,36.1362
3430001,42,20.4563
3440001,40,182.749
3450001,51,41.816
3460001,34,122.521
3470001,35,0.605879
3480001,26,16.9071
3490001,31,67.4524
3500001,39,55.979
3510001,40,22.8209
3520001,47,14.0952
3530001,38,154.436
3540001,44,5.94436
3550001,33,97.501
3560001,12,23.6708
3570001,47,83.8039
3580001,45,71.1398
3590001,13,2.05476
3600001,30,138.984
3610001,14,0.778312
3620001,37,65.4465
3630001,32,42.3079
3640001,28,49.4969
3650001,41,3.84639
3660001,25,23.3291
3670001,42,8.88684
3680001,41,33.8836
3690001,23,25.8022
3700001,38,27.074
3710001,21,7.54793
3720001,24,66.724
3730001,46,0.460417
3740001,36,45.084
3750001,45,9.48883
3760001,28,13.4199
3770001,41,36.2618
3780001,35,16.8598
3790001,39,102.962
3800001,19,3.92882
3810001,25,156.917
3820001,43,8.93589
3830001,17,5.53351
3840001,18,136.354
3850001,33,114.251
3860001,17,0.787971
3870001,28,114.21
3880001,13,4.72961
3890001,33,148.368
3900001,35,215.795
3910001,9,5.70813
3920001,27,28.3425
3930001,22,17.2205
3940001,48,31.4526
3950001,46,14.7042
3960001,30,3.20098
3970001,41,133.007
3980001,39,85.5698
3990001,48,27.8844
4000001,15,16.0361
4010001,28,22.219
4020001,31,90.503
4030001,14,22.8613
4040001,35,83.9074
4050001,29,28.3182
4060001,25,8.79226
