"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
3675,7,0,21.6614152246607,13817,13819,5766,25.4545454545455,22000,6.4e-06,31206
3675,6,1,21.6614152246607,5766,31206,5766,21.8181818181818,22000,5.5e-06,31206
5687,5,1,17.5464502959272,7534,30829,7534,18.1818181818182,22000,4.6e-06,30829
6526,6,1,21.6216852081615,8295,31660,8295,21.8181818181818,22000,5.5e-06,31660
7416,4,0,11.2525037837239,16382,16384,9032,14.5454545454545,22000,3.7e-06,32023
7416,3,1,11.2525037837239,9032,32023,9032,10.9090909090909,22000,2.8e-06,32023
7601,3,1,10.8398689030493,9168,35455,9168,10.9090909090909,22000,2.8e-06,35455
7601,2,0,10.8398689030493,24495,24499,9168,7.27272727272727,22000,1.9e-06,35455
7631,6,1,22.1292315203678,9188,36120,9188,21.8181818181818,22000,5.5e-06,36120
7631,5,0,22.1292315203678,17646,17659,9188,18.1818181818182,22000,4.6e-06,36120
7771,3,1,10.6714423155464,9301,31112,9301,10.9090909090909,22000,2.8e-06,31112
7771,2,0,10.6714423155464,23508,23534,9301,7.27272727272727,22000,1.9e-06,31112
7771,4,0,10.6714423155464,28390,28392,9301,14.5454545454545,22000,3.7e-06,31112
7771,4,0,10.6714423155464,9685,10289,9301,14.5454545454545,22000,3.7e-06,31112
8394,9,1,32.6239596693771,9826,35734,9826,32.7272727272727,22000,8.2e-06,35734
8600,4,1,14.6144926373417,10001,50904,10001,14.5454545454545,22000,3.7e-06,50904
8621,3,1,11.2702577769493,10021,39992,10021,10.9090909090909,22000,2.8e-06,39992
8744,3,1,10.8562323740266,10118,43420,10118,10.9090909090909,22000,2.8e-06,43420
8905,3,1,11.1963181860625,10238,30177,10238,10.9090909090909,22000,2.8e-06,30177
8945,4,1,14.3842968534759,10268,41193,10268,14.5454545454545,22000,3.7e-06,41193
9165,3,1,11.1980668240693,10447,42863,10447,10.9090909090909,22000,2.8e-06,42863
9184,3,1,10.7339252236201,10463,32203,10463,10.9090909090909,22000,2.8e-06,32203
9213,4,1,13.9499161620991,10485,32853,10485,14.5454545454545,22000,3.7e-06,32853
9514,4,1,14.5011903371962,10719,48259,10719,14.5454545454545,22000,3.7e-06,48259
9514,3,0,14.5011903371962,14600,14601,10719,10.9090909090909,22000,2.8e-06,48259
9776,3,1,10.9681786124079,10913,56911,10913,10.9090909090909,22000,2.8e-06,56911
10014,3,1,10.8456584986768,11096,30280,11096,10.9090909090909,22000,2.8e-06,30280
10035,2,1,7.33468632712437,11121,36971,11121,7.27272727272727,22000,1.9e-06,36971
10109,4,0,11.0437087093165,24193,24205,11172,14.5454545454545,22000,3.7e-06,51398
10109,3,1,11.0437087093165,11172,51398,11172,10.9090909090909,22000,2.8e-06,51398
10109,4,0,11.0437087093165,35897,35898,11172,14.5454545454545,22000,3.7e-06,51398
10146,4,1,14.5494916316762,11197,30881,11197,14.5454545454545,22000,3.7e-06,30881
10258,3,0,7.18398578927585,51701,51727,11301,10.9090909090909,22000,2.8e-06,70673
10258,1,0,7.18398578927585,22543,22645,11301,3.63636363636364,22000,1e-06,70673
10258,2,1,7.18398578927585,11301,70673,11301,7.27272727272727,22000,1.9e-06,70673
10281,2,1,6.54824039125306,11326,34138,11326,7.27272727272727,22000,1.9e-06,34138
10281,1,0,6.54824039125306,11430,19090,11326,3.63636363636364,22000,1e-06,34138
10373,3,1,10.5993291867317,11389,46936,11389,10.9090909090909,22000,2.8e-06,46936
10376,5,1,18.3193061257426,11392,30076,11392,18.1818181818182,22000,4.6e-06,30076
10390,4,1,13.8798075227643,11407,38853,11407,14.5454545454545,22000,3.7e-06,38853
10461,2,1,6.94216432432482,11463,31024,11463,7.27272727272727,22000,1.9e-06,31024
10618,7,1,25.5217765364305,11581,32475,11581,25.4545454545455,22000,6.4e-06,32475
10641,3,0,7.07635797158721,17977,17979,11594,10.9090909090909,22000,2.8e-06,34384
10641,2,1,7.07635797158721,14972,34384,11594,7.27272727272727,22000,1.9e-06,34384
10641,1,0,7.07635797158721,11594,17294,11594,3.63636363636364,22000,1e-06,34384
10775,2,1,7.18421945533494,11689,32579,11689,7.27272727272727,22000,1.9e-06,32579
10847,2,0,3.91628334018046,11997,14386,11740,7.27272727272727,22000,1.9e-06,50311
10847,1,1,3.91628334018046,11740,50311,11740,3.63636363636364,22000,1e-06,50311
10893,1,1,2.72507433149883,11774,37942,11774,3.63636363636364,22000,1e-06,69263
10901,5,1,17.7517558882182,11777,34043,11777,18.1818181818182,22000,4.6e-06,34043
10961,4,1,14.5265639717899,11817,31400,11817,14.5454545454545,22000,3.7e-06,31400
10979,2,1,7.92927839353002,11834,35726,11834,7.27272727272727,22000,1.9e-06,35726
11003,2,1,7.05115029608166,11851,30690,11851,7.27272727272727,22000,1.9e-06,30690
11024,2,1,7.46370505451224,11869,44022,11869,7.27272727272727,22000,1.9e-06,44022
11024,3,0,7.46370505451224,22378,22379,11869,10.9090909090909,22000,2.8e-06,44022
11085,3,1,10.9863241118456,11929,43100,11929,10.9090909090909,22000,2.8e-06,43100
