generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,28551,31848,0,0.032,0,0.00709385,0
5001,28551,31848,0,0.011771,0,0.0117521,0
5001,28649,32184,25501.5,0.0010983,1.44957e-05,0.000637888,0
5001,30051,31673,19071,0.000585243,1.72208e-05,0.000390975,0
5001,27698,24707,21558.4,0.000545339,-4.58469e-05,0.00057016,0
5001,26034,31553,26924.2,0.00231728,-0.00308584,0.000409146,0
5001,26911,21938,8263.71,0.000401558,1.04072e-06,0.000354654,0
5001,10014,26533,15984.7,0.0008157,2.30318e-05,0.00131715,0
5001,18299,31121,26685.8,0.00112949,3.16512e-05,0.00177274,0
10001,28551,31848,0,0.011771,0,0.0117521,0
10001,33468,23596,15927.5,0.000650069,-1.92989e-05,0.000724994,0
10001,29960,NA,23463.8,2.46248e-05,1.72208e-05,0.000290238,0
10001,31848,32316,11.9609,0.000342874,1.04072e-06,0.000283947,0
15001,28551,31848,0,0.011771,0,0.0118078,0
15001,33468,31650,6992.65,0.000766607,-4.228e-05,0.00047648,0
15001,31848,33789,5.45215,0.00027943,1.04072e-06,0.000199098,0
20001,28551,31848,0,0.0118717,0,0.0117955,0
20001,28551,31912,27.2985,0.00158644,-4.228e-05,0.000788565,0
20001,31479,NA,28245.4,0.0026163,-0.00235519,0.000628311,0
20001,31848,33789,4.05949,0.00023597,1.04072e-06,0.000149992,0
25001,28551,31848,0,0.0117585,0,0.0117111,0
25001,28551,31912,28.2463,0.00143427,-4.228e-05,0.00069013,0
25001,31848,33789,4.05949,0.000217666,1.04072e-06,0.000130435,0
30001,28551,31848,0,0.0117053,0,0.0117111,0
30001,28551,31912,21.3436,0.00140058,-4.228e-05,0.00070273,0
30001,31848,33789,6.85578,0.000227598,1.04072e-06,0.000141076,0
35001,28551,31848,0,0.0117076,0,0.0117111,0
35001,30165,25294,2246.52,0.00136773,-4.228e-05,0.000623008,0
35001,31848,33789,1.93657,0.000308666,1.04072e-06,0.000255257,0
40001,28551,31848,0,0.0117192,0,0.0117143,0
40001,30165,32348,1447.52,0.00137132,-4.228e-05,0.00061012,0
40001,31848,33789,7.3804,0.000356067,1.04072e-06,0.000294421,0
45001,28551,31848,0,0.0116893,0,0.0117143,0
45001,18217,NA,27998.4,0.000573605,-0.00523806,0.000408794,0
45001,30165,32348,1464.18,0.00134331,-4.228e-05,0.000584474,0
45001,31848,33789,9.7271,0.000341189,1.04072e-06,0.000287547,0
50001,28551,31848,0,0.0116893,0,0.0117143,0
50001,28551,33468,63.981,0.00138892,-2.35557e-05,0.000893736,0
50001,28670,33807,26527.2,0.00156548,-1.40812e-05,0.000796983,0
50001,30165,32348,1439.32,0.00129715,-4.228e-05,0.000563175,0
50001,31772,34840,29087.6,0.00676226,-3.29574e-05,0.00197893,0
50001,31848,33789,0.0216532,0.000397406,1.04072e-06,0.000351867,0
55001,28551,31848,0,0.0117422,0,0.0117143,0
