generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-104.261,-309953,1,1
5001,1,-77.6115,-26507.9,0.293086,0.226
10001,3,-47.9134,-26489.5,0.216922,0.2182
15001,3,-46.0817,-26457.5,0.798488,0.3306
20001,3,-47.7025,-26456.8,0.865007,0.2988
25001,2,-63.0819,-26457.5,1.3043,0.2932
30001,2,-62.9426,-26460.4,1.87994,0.2622
35001,3,-45.9087,-26239.4,0.0788072,0.2528
40001,3,-46.7912,-26234.1,0.40462,0.2568
45001,3,-48.3601,-26226.5,2.07438,0.2172
50001,3,-46.6191,-26229.3,1.34123,0.1784
55001,4,-31.9862,-26219.7,1.07974,0.1956
60001,3,-45.3667,-26223.8,0.141408,0.2038
65001,4,-34.7606,-26225.9,1.66125,0.218
70001,3,-45.9483,-26225.3,1.17529,0.231
75001,4,-31.5537,-26221.4,1.32531,0.2192
80001,3,-45.3788,-26218.4,1.59745,0.189
85001,3,-44.0204,-26215,0.0132396,0.2182
90001,3,-46.5674,-26216.7,2.33932,0.2218
95001,3,-43.7084,-26216.8,0.608621,0.2174
100001,3,-45.6569,-26216.8,2.01586,0.2068
105001,3,-43.7886,-26215,0.135016,0.2028
110001,5,-13.7806,-26208.6,0.888034,0.241
115001,5,-15.0806,-26202.7,1.16019,0.2676
120001,4,-28.2625,-26208,0.263397,0.2868
125001,5,-15.1412,-26209.4,2.18549,0.2502
130001,4,-28.0191,-26204.7,0.551003,0.2616
135001,4,-28.6796,-26206.1,0.640669,0.2484
140001,4,-28.5919,-26217.6,0.392294,0.2802
145001,3,-44.7703,-26219.5,1.28489,0.2314
150001,3,-43.3504,-26217.9,0.307786,0.2276
155001,4,-28.994,-26215,1.63345,0.2604
160001,6,4.57656,-26166.1,0.971742,0.2798
165001,4,-28.3783,-26066.8,0.504531,0.242
170001,5,-12.4857,-26067.5,0.915682,0.2302
175001,5,-11.4982,-26069.6,0.576876,0.225
180001,4,-25.3565,-26071.5,0.337297,0.2334
185001,6,4.9167,-26070,0.220682,0.2336
190001,4,-26.892,-26066.7,3.74717,0.2188
195001,4,65.4554,-26057.4,0.978299,0.2558
200001,5,68.5232,-26062.6,3.47758,0.2812
205001,5,80.0111,-26056.4,2.55561,0.261
210001,4,65.7305,-26055.2,0.940216,0.2644
215001,4,66.674,-26060.1,0.161678,0.2856
220001,4,62.8737,-26061.7,1.86702,0.2692
225001,5,82.79,-26060.1,0.093127,0.2674
230001,4,63.6944,-26058.9,0.86811,0.2548
235001,5,75.9197,-26056.3,1.98429,0.2726
240001,5,82.1909,-26060.7,0.112061,0.2686
245001,4,66.82,-26057.4,0.335567,0.259
250001,4,65.2667,-26059.4,1.17235,0.2872
255001,4,65.5024,-26056.7,0.869278,0.296
260001,5,80.4225,-26055.7,0.665569,0.2492
265001,5,80.1034,-26054.7,0.939104,0.2588
270001,4,64.6862,-26053.6,0.599061,0.27
275001,4,64.6748,-26058.9,2.84407,0.2552
280001,5,80.6812,-26059.7,0.17176,0.312
285001,5,77.4439,-26059,1.467,0.2848
290001,4,66.1856,-26061.6,1.16546,0.2762
295001,4,67.0657,-26057.3,0.146083,0.2316
300001,4,63.7836,-26059.1,2.27266,0.2946
305001,5,73.2728,-26062.7,0.0923201,0.2488
310001,7,109.423,-26057.9,0.483812,0.3016
315001,5,83.1992,-26061.9,0.667906,0.3088
320001,4,65.5072,-26059.4,0.217759,0.2604
325001,6,95.9076,-26054.1,2.30908,0.2588
330001,5,80.4676,-26055.9,0.624571,0.2854
335001,4,66.0424,-26055.2,1.15175,0.2592
340001,4,62.5164,-26056.5,0.634226,0.238
345001,4,65.8907,-26054.6,0.497688,0.2428
350001,5,83.8854,-26059.3,0.016641,0.2556
355001,4,65.3486,-26058.1,0.810887,0.2894
360001,4,67.8613,-26057.5,0.21111,0.2734
365001,4,64.7447,-26053.1,0.936492,0.264
370001,4,64.5059,-26048.5,0.248626,0.2702
375001,4,65.8589,-26048.1,0.0276812,0.26
380001,4,66.1129,-26055.1,0.0738274,0.2444
385001,5,80.8219,-26054.2,1.5957,0.256
390001,4,66.6641,-26055.7,0.196405,0.2622
