generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,123959,125314,0,0.032,0,0.005,0
10001,123959,125314,0,0.0112806,0,0.0112437,0
10001,119889,122207,28068.9,8.68995e-05,1.47191e-05,0.000182604,0
10001,120684,119215,27657.5,0.00057957,-1.16763e-05,0.000315242,0
10001,120413,118739,42957.7,0.000292916,-8.0505e-06,0.000267764,0
10001,123418,118381,85138.2,0.000452469,1.51908e-05,0.000517229,0
10001,119464,120517,54835.5,0.000358432,8.54827e-06,0.000476169,0
10001,122471,118666,58983.1,0.000197385,-3.93832e-06,0.000117031,0
10001,118110,106941,83772.8,0.000170443,1.34764e-05,0.000267824,0
10001,124506,113129,65902.6,0.000235759,-1.33207e-05,0.000173443,0
10001,92663,96782,76279.3,0.000299701,5.29087e-06,0.000330474,0
10001,103179,101652,41926.3,0.000274759,-1.47604e-05,0.000216191,0
10001,56913,111206,15195.5,9.79426e-06,2.67265e-05,4.18879e-05,0
10001,96503,124302,23099.9,2.80774e-05,-2.75123e-06,9.9924e-05,0
10001,106180,108068,41901.5,0.000451786,8.31156e-08,0.000476085,0
10001,126381,124906,88164.2,0.000229321,1.46093e-05,9.37289e-05,0
10001,123098,98062,48016.6,3.72561e-05,7.76175e-06,8.06337e-05,0
10001,73547,122533,53611,0.000120701,2.01888e-05,0.000235192,0
10001,114227,92322,25721.1,0.000134526,-3.20009e-06,0.000107662,0
10001,114289,110307,51976.3,0.00019224,6.26421e-06,0.000305228,0
10001,125517,109662,51522.3,0.000115905,1.24827e-05,0.00020753,0
10001,119296,108102,29214.7,0.000239975,9.03881e-07,0.000224931,0
10001,124896,117339,73574.9,0.000122156,-6.92453e-06,0.000214556,0
10001,118340,127506,86984.3,0.000330901,-1.21765e-05,0.000126091,0
10001,110155,116290,89770.7,9.01613e-05,-3.17781e-06,0.000302721,0
10001,102809,125415,32020.9,0.000526385,-6.22163e-06,0.000384187,0
10001,111298,111710,14354.4,0.00053523,-1.96921e-05,0.000237094,0
10001,125194,109580,28600.6,0.00013613,4.11773e-06,0.000211411,0
10001,118670,115013,29006.2,0.000350399,1.45971e-06,0.000355342,0
10001,118559,126218,56522,0.000680738,-5.19992e-06,0.000729932,0
10001,120558,125468,22078.1,0.000362982,2.49766e-06,0.000404687,0
20001,123959,125314,0,0.0112806,0,0.0112437,0
20001,119889,122207,36705.5,0.000113356,1.47191e-05,0.000207382,0
20001,125314,124887,69628.7,0.000498534,9.03881e-07,0.000395678,0
20001,124199,124845,40814.6,0.00078805,-9.73873e-06,0.000538037,0
20001,104596,125006,55424.6,0.000344595,8.54827e-06,0.000426544,0
20001,124506,NA,98894.8,9.74638e-05,-1.16763e-05,0.000275394,0
20001,123287,127608,73773.7,0.000165486,6.26421e-06,8.11204e-05,0
20001,123283,121278,88411.2,0.000284855,8.85161e-07,0.000424679,0
20001,126345,111949,22090.6,0.000193953,-4.41894e-06,0.000133711,0
20001,88679,110950,47133,0.000313518,-3.93832e-06,0.000296454,0
20001,112259,110448,78424.8,0.00012998,-1.33207e-05,4.74927e-05,0
20001,109102,113156,52364.2,0.00015509,4.11773e-06,4.17951e-05,0
20001,124045,120633,94458.1,0.000654543,-0.00468884,1.97773e-05,0
20001,120288,114406,83079.9,0.000161648,7.39955e-06,0.000238248,0
20001,75025,113683,25396.8,0.000175892,-3.25797e-06,0.000132486,0
20001,119171,120012,58937.5,0.000106795,2.01888e-05,0.000175233,0
20001,118423,118632,48165.4,0.000189024,-2.75123e-06,0.000190556,0
20001,117159,125062,97713.1,0.000608436,1.26028e-05,0.000853815,0
20001,109662,125082,61715.7,8.44993e-05,1.24827e-05,4.32225e-05,0
20001,110734,122411,68378.2,0.000291221,-3.17781e-06,0.000247252,0
20001,113862,123729,57950.4,0.000261801,-6.92453e-06,0.000256387,0
20001,118670,115013,26693.8,0.000335985,1.45971e-06,0.000355342,0
20001,124906,124194,89168.4,0.000199749,1.46093e-05,3.18349e-05,0
20001,102809,125415,41205.3,0.000475475,-6.22163e-06,0.000302979,0
20001,124315,127782,99349.3,0.000197331,-3.38477e-06,4.74144e-05,0
20001,124199,121195,650.505,0.000625687,-1.96921e-05,0.000229106,0
