generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-508.169,-945287,1,0
10001,29,221.746,-31059.5,1.0376,0.418
20001,31,251.091,-27464.6,2.08196,0.385
30001,9,-144.205,-27127.7,0.255392,0.32
40001,6,113.904,-27087.3,1.03625,0.315
50001,5,91.157,-27064.1,0.381644,0.273
60001,5,87.2659,-27054.7,0.449652,0.291
70001,5,93.5854,-27052.8,0.327817,0.299
80001,6,105.524,-27045.1,0.630506,0.293
90001,6,107.038,-27040.4,1.84158,0.334
100001,5,86.8437,-27041.6,3.31543,0.338
110001,8,143.406,-27036.8,2.13388,0.371
120001,5,92.5702,-27040.5,0.0430955,0.3
130001,4,74.9044,-27049.3,0.228074,0.297
140001,6,106.129,-27040.1,1.48073,0.309
150001,4,75.4837,-27050.7,1.25661,0.253
160001,4,72.7317,-27035,0.324099,0.283
170001,5,94.8636,-27036.5,0.036832,0.26
180001,4,70.2572,-27035.2,2.93977,0.252
190001,4,75.4036,-27035.4,0.538754,0.293
200001,5,89.8281,-27035.6,0.198086,0.257
210001,4,75.3382,-27036.8,0.352488,0.313
220001,5,93.7463,-27034.3,1.09928,0.297
230001,4,70.9877,-27032.5,1.80686,0.284
240001,5,90.7305,-27021,2.76343,0.312
250001,4,72.6139,-27020.9,0.451333,0.319
260001,3,54.9358,-27024.1,0.610981,0.289
270001,3,55.5464,-27035.4,0.013488,0.316
280001,5,91.0304,-27012.4,2.06565,0.347
290001,5,92.3652,-26950,0.826456,0.324
300001,5,92.0902,-26948.1,0.0181241,0.275
310001,5,91.8327,-26924.1,1.65231,0.272
320001,7,127.732,-26912.5,0.879907,0.309
330001,5,89.598,-26908.1,0.181496,0.265
340001,6,110.501,-26905.8,0.120217,0.262
350001,5,89.4412,-26905.1,0.710532,0.258
360001,6,106.915,-26903.9,0.972682,0.311
370001,5,89.3418,-26900,0.448519,0.238
380001,5,87.1365,-26894.5,1.49838,0.24
390001,7,124.47,-26894.7,0.352489,0.372
400001,6,107.436,-26890.6,0.830608,0.277
410001,5,90.9125,-26888.8,0.13768,0.243
420001,6,111.646,-26892.2,0.108309,0.309
430001,4,71.3602,-26899.1,0.416271,0.279
440001,5,89.0154,-26898.1,0.229723,0.266
450001,4,69.6153,-26896.9,1.55086,0.317
460001,4,74.9866,-26897.9,0.0175367,0.246
470001,5,91.1327,-26899.5,1.55183,0.316
480001,5,92.2801,-26895.8,0.858488,0.287
490001,5,86.4984,-26900.4,2.1018,0.336
500001,4,69.5244,-26894.5,0.296574,0.23
510001,4,69.605,-26895.4,1.29932,0.261
520001,4,70.5067,-26898.2,3.55548,0.257
530001,5,89.5794,-26896.3,1.20038,0.314
540001,5,90.6002,-26906.5,2.48842,0.317
550001,4,70.9201,-26897.2,1.20817,0.271
560001,4,74.4993,-26900.1,0.318352,0.297
570001,6,112.257,-26900.1,0.000920419,0.268
580001,4,71.3846,-26895.2,0.878797,0.261
590001,4,73.4159,-26896,0.268501,0.242
600001,4,71.5387,-26900.4,0.0823994,0.268
610001,6,108.235,-26894.6,1.65385,0.323
620001,5,92.1858,-26898.4,0.624776,0.29
630001,5,90.4472,-26896.1,0.119904,0.316
640001,4,73.7092,-26894.8,0.440132,0.226
650001,5,89.4181,-26890.5,0.193593,0.3
660001,5,89.8897,-26891.4,0.0721388,0.303
670001,4,71.6481,-26893,0.484925,0.297
680001,5,88.0845,-26888.1,0.865917,0.296
690001,4,71.0258,-26891.2,1.24531,0.24
700001,4,71.5267,-26893.2,0.808268,0.237
710001,5,91.1679,-26897.2,0.282423,0.307
720001,4,69.3448,-26891.1,1.62757,0.262
730001,4,70.1675,-26905.9,0.446438,0.308
740001,5,88.97,-26889.5,1.12704,0.287
750001,4,73.7995,-26892.4,0.723679,0.263
760001,4,68.0229,-26897,3.28896,0.267
770001,4,73.5925,-26892,0.203498,0.272
780001,5,88.9855,-26896.4,0.439686,0.277
790001,4,68.2162,-26893.3,0.199622,0.267
800001,4,72.6797,-26898.4,0.0799291,0.272
810001,5,84.2125,-26893.2,4.56757,0.305
820001,4,71.2517,-26890.5,1.65745,0.278
830001,6,109.061,-26890.2,0.416357,0.289
840001,4,72.2268,-26891.1,2.63733,0.25
850001,4,73.4459,-26897.6,0.20838,0.255
860001,5,84.2732,-26887.2,1.00126,0.313
870001,5,88.2532,-26889.9,2.98926,0.296
880001,5,89.6307,-26893.2,0.583638,0.273
890001,4,68.3665,-26893.5,0.601869,0.252
900001,4,74.3868,-26895.4,0.253481,0.239
910001,5,84.3602,-26886,0.747045,0.281
920001,5,88.7994,-26890.7,0.0666564,0.29
930001,7,121.369,-26883.3,1.42249,0.376
940001,4,72.6375,-26893.7,0.399109,0.256
950001,5,90.0553,-26894.5,1.06595,0.324
960001,4,71.1106,-26894.1,0.744802,0.24
970001,4,70.645,-26894,0.672662,0.295
980001,5,91.0327,-26892.9,1.16951,0.279
990001,5,84.104,-26891.3,2.6066,0.257
1000001,4,74.8414,-26893.2,0.400066,0.235
1010001,4,72.9277,-26893.3,0.0629647,0.26
1020001,4,73.4515,-26899.2,0.638241,0.331
1030001,4,71.6857,-26903.3,2.34731,0.266
1040001,4,75.3325,-26904.6,0.761793,0.269
1050001,4,70.4454,-26891.3,0.606306,0.252
1060001,4,67.3997,-26894.8,3.52669,0.257
1070001,5,89.5008,-26894.8,1.72783,0.284
1080001,4,68.0906,-26893.1,1.12618,0.291
1090001,5,85.4146,-26892.4,2.02437,0.298
1100001,4,69.0094,-26891.7,1.23214,0.279
1110001,6,105.859,-26887.5,0.248667,0.269
1120001,4,70.3902,-26892.6,1.88555,0.254
