generation,N_shifts,eventRate
1,0,0.82532
10001,0,0.0792315
20001,3,0.372792
30001,1,0.263378
40001,1,0.497528
50001,0,0.426818
60001,0,0.0449943
70001,0,0.0727596
80001,0,0.624622
90001,0,0.11936
100001,1,0.232567
110001,0,0.078145
120001,0,0.177452
130001,1,1.27428
140001,4,3.83645
150001,0,0.429432
160001,4,0.819835
170001,1,1.61065
180001,0,0.0620333
190001,0,2.12788
200001,0,0.584311
210001,0,0.0164069
220001,0,0.382468
230001,2,0.55386
240001,2,1.21481
250001,0,0.159651
260001,3,0.892218
270001,1,0.746396
280001,0,1.46975
290001,1,0.137527
300001,1,0.20808
310001,0,0.0721641
320001,1,0.634036
330001,2,2.00254
340001,2,0.881026
350001,0,0.650872
360001,0,0.671393
370001,0,0.0730296
380001,0,0.72207
390001,3,4.35683
400001,2,1.37959
410001,0,0.0451981
420001,0,0.507711
430001,2,3.85856
440001,1,0.932845
450001,4,0.688571
460001,0,0.996547
470001,0,0.263874
480001,0,0.0223176
490001,1,0.616384
500001,2,0.909165
510001,1,1.77223
520001,1,1.46403
530001,1,0.0728584
540001,1,1.17724
550001,2,2.88727
560001,2,1.41637
570001,4,1.55194
580001,1,1.93129
590001,0,0.612525
600001,1,0.654844
610001,0,0.359668
620001,0,2.123
630001,0,0.835509
640001,0,1.64413
650001,4,2.7816
660001,0,0.147477
670001,0,0.113063
680001,1,0.513306
690001,1,0.691937
700001,0,5.26046
710001,0,0.406407
720001,0,0.0426689
730001,1,0.737186
740001,0,0.474977
750001,1,2.96418
760001,0,0.441281
770001,0,0.244107
780001,2,2.48158
790001,2,1.46722
800001,1,3.26366
810001,0,0.736265
820001,0,0.481567
830001,1,2.64963
840001,0,0.154733
850001,2,0.959091
860001,0,2.2753
870001,0,0.595385
880001,0,0.0779321
890001,0,0.187077
900001,1,0.793913
910001,0,0.754705
920001,0,0.0346231
930001,1,0.564862
940001,0,0.0785006
950001,3,0.515653
960001,0,0.068648
970001,3,0.194681
980001,4,0.61689
990001,0,0.0555174
1000001,0,0.697995
1010001,0,0.00813595
1020001,5,2.43872
1030001,0,0.559199
1040001,0,0.603916
1050001,0,0.0262605
1060001,0,0.157726
1070001,0,3.65598
1080001,2,0.212385
1090001,1,0.72383
1100001,0,0.763889
1110001,2,1.14158
1120001,2,2.71449
1130001,2,1.79242
1140001,4,2.45548
1150001,0,1.45434
1160001,3,3.56167
1170001,2,2.72544
1180001,3,3.53997
1190001,1,1.13096
1200001,1,1.28158
1210001,4,1.84713
1220001,1,0.748621
1230001,0,0.620203
1240001,4,0.342265
1250001,0,0.0246122
1260001,0,0.0879797
1270001,1,1.75063
1280001,1,1.12315
1290001,2,1.51568
1300001,3,0.892127
1310001,1,0.295777
1320001,2,0.396452
1330001,1,0.368401
1340001,0,0.179475
1350001,1,0.356252
1360001,1,0.729618
1370001,1,0.230075
1380001,0,0.0628042
1390001,1,3.19462
1400001,1,1.64685
1410001,1,1.60679
1420001,0,0.0137485
1430001,0,0.386431
1440001,0,0.809151
1450001,0,0.00169507
1460001,0,0.23732
1470001,2,2.1038
1480001,3,1.00519
1490001,0,1.25662
1500001,1,1.3212
1510001,1,0.962293
1520001,1,0.528531
1530001,0,0.417216
1540001,0,0.526505
1550001,1,0.109006
1560001,1,0.966013
1570001,2,1.20079
1580001,3,2.90218
1590001,0,0.2367
1600001,0,0.787638
1610001,2,1.80234
1620001,1,3.08908
1630001,0,0.151519
1640001,1,0.4804
1650001,1,0.918435
1660001,0,1.2123
1670001,1,0.534251
1680001,2,3.04205
1690001,1,0.48318
1700001,2,1.01975
1710001,0,0.770399
1720001,0,0.75893
1730001,0,0.290006
1740001,0,1.15037
1750001,2,3.63193
1760001,1,0.711471
1770001,0,0.814985
1780001,1,0.576097
1790001,1,0.99456
1800001,0,0.224657
1810001,0,0.0370228
1820001,1,2.1161
1830001,2,0.836991
1840001,0,0.22296
1850001,2,0.928936
1860001,2,3.06872
1870001,2,1.39761
1880001,3,3.06957
1890001,0,0.63467
1900001,2,1.3211
1910001,0,0.287745
1920001,0,0.287953
1930001,1,0.856105
1940001,0,0.110381
1950001,1,0.925896
1960001,1,0.567021
1970001,2,0.370272
1980001,0,0.194399
1990001,0,0.551757
2000001,0,0.142413
2010001,0,0.0669926
2020001,1,4.59828
2030001,2,0.186782
2040001,2,2.18523
2050001,0,0.178809
2060001,0,0.131559
2070001,0,0.473037
2080001,1,0.42706
2090001,0,0.795717
2100001,0,0.354138
2110001,1,3.0043
2120001,1,0.452184
2130001,3,0.664397
2140001,1,1.83554
2150001,0,0.257331
2160001,0,0.230648
2170001,3,0.608481
2180001,0,0.265961
2190001,1,0.657429
2200001,0,0.105816
2210001,0,1.37707
2220001,3,1.40561
2230001,2,2.43372
2240001,0,0.36429
2250001,0,0.00192082
2260001,1,0.242912
2270001,1,1.2151
2280001,4,2.47812
2290001,1,0.151542
2300001,5,1.16406
2310001,0,0.696161
2320001,0,0.984327
2330001,1,0.490123
2340001,1,0.200123
2350001,1,1.15855
2360001,1,0.234918
2370001,2,0.730497
2380001,1,2.49771
2390001,0,2.12542
2400001,1,0.897094
2410001,0,0.163026
2420001,1,0.676749
2430001,1,0.737632
2440001,0,0.103652
2450001,1,0.932142
2460001,0,0.372617
2470001,1,1.24732
2480001,0,0.691875
2490001,0,2.19213
2500001,1,1.06745
2510001,1,0.404686
2520001,0,1.27486
2530001,0,0.0359572
2540001,1,1.18826
2550001,2,2.20517
2560001,1,0.520742
2570001,0,0.399839
2580001,1,0.816984
2590001,0,0.249854
2600001,0,0.196335
2610001,1,0.157123
2620001,0,0.572021
2630001,1,0.408674
2640001,5,3.13616
2650001,0,0.472757
2660001,0,0.00716987
2670001,0,0.344136
2680001,1,1.30595
2690001,0,0.486431
2700001,2,0.092051
2710001,2,0.282
2720001,2,1.39252
2730001,0,0.135043
2740001,2,2.04086
2750001,0,0.162081
2760001,0,0.774716
2770001,1,1.26014
2780001,0,0.0244321
2790001,0,0.161813
2800001,0,0.580818
2810001,0,0.0693482
2820001,0,0.0077872
2830001,0,0.880514
2840001,0,4.22557
2850001,0,0.40294
2860001,1,0.150215
2870001,2,2.06475
2880001,0,1.46573
2890001,1,0.196369
2900001,0,1.12384
2910001,1,1.67739
2920001,0,0.189037
2930001,2,0.0781821
2940001,1,1.10047
2950001,0,1.41711
2960001,0,0.338044
2970001,1,0.737585
2980001,2,3.27127
2990001,1,2.3157
3000001,2,2.11469
3010001,1,1.47463
3020001,0,0.556567
3030001,1,1.81204
3040001,4,2.11984
3050001,4,4.98948
3060001,1,0.835917
3070001,0,0.343265
3080001,0,0.352212
3090001,0,0.199277
3100001,0,0.0609102
3110001,1,1.75999
3120001,0,0.22398
3130001,0,0.43248
3140001,1,2.13253
3150001,4,3.13138
3160001,2,2.90819
3170001,0,0.380849
3180001,0,0.461383
3190001,1,0.854435
3200001,0,2.60893
3210001,1,0.807188
3220001,1,0.179553
3230001,0,0.312777
3240001,0,2.31456
3250001,0,0.153916
3260001,0,1.5331
3270001,3,2.40594
3280001,1,0.499082
3290001,0,0.0460189
3300001,0,0.0191889
3310001,1,0.847704
3320001,1,2.31003
3330001,0,0.307902
3340001,1,0.264975
3350001,0,0.0858674
3360001,2,0.0532368
3370001,1,1.21433
3380001,0,0.813209
3390001,0,0.657487
3400001,0,0.179911
3410001,0,1.03929
3420001,2,1.76229
3430001,1,1.66664
3440001,0,0.00189455
3450001,1,1.04774
3460001,1,0.25314
3470001,0,0.232468
3480001,2,0.191812
3490001,3,1.64555
3500001,0,0.0521374
3510001,0,0.109149
3520001,1,0.0848359
3530001,0,0.194966
3540001,1,0.64549
3550001,0,0.972142
3560001,0,0.0321934
3570001,3,0.452081
3580001,0,1.04695
3590001,0,0.578819
3600001,0,0.417913
3610001,0,0.544241
3620001,0,0.254821
3630001,2,2.05387
3640001,0,1.86111
3650001,0,0.0204659
3660001,1,0.440051
3670001,2,0.105019
3680001,2,0.567093
3690001,0,0.187725
3700001,0,0.408997
3710001,0,1.17792
3720001,0,1.09494
3730001,0,0.416038
3740001,0,0.899579
3750001,2,0.121121
3760001,0,0.0707071
3770001,1,0.806708
3780001,1,0.850967
3790001,1,1.0871
3800001,0,0.669004
3810001,1,0.109938
3820001,2,0.316849
3830001,0,3.11722
3840001,1,0.285028
3850001,0,0.213095
3860001,0,0.0870907
3870001,1,0.962222
3880001,2,4.8682
3890001,0,1.86997
3900001,3,2.17524
3910001,1,0.630318
3920001,1,0.144017
3930001,0,0.567663
3940001,1,2.10599
3950001,0,0.168395
3960001,0,0.354374
3970001,1,0.237329
3980001,2,0.65101
3990001,1,5.84983
4000001,0,0.148269
4010001,0,0.958667
4020001,0,0.555265
4030001,1,0.870264
4040001,1,2.86354
4050001,0,1.08987
4060001,2,0.337498
4070001,0,0.0974188
4080001,0,1.06807
4090001,0,0.170844
4100001,0,1.39926
4110001,1,1.09409
4120001,1,2.38911
4130001,1,0.914684
4140001,0,0.201074
4150001,3,2.48476
4160001,2,0.272045
4170001,1,2.50043
4180001,0,0.707876
4190001,0,0.0536646
