generation,N_shifts,eventRate
1,1,5.4799
5001,1,1.59873
10001,3,0.951258
15001,1,0.907194
20001,0,0.958485
25001,0,0.434832
30001,0,0.291761
35001,0,0.124499
40001,1,1.47281
45001,2,1.10758
50001,0,0.572684
55001,1,0.635103
60001,1,0.0264768
65001,0,0.84097
70001,1,0.820237
75001,1,1.8604
80001,0,0.442236
85001,4,0.434583
90001,0,0.397709
95001,0,0.604039
100001,0,0.0857084
105001,1,2.31471
110001,0,0.104307
115001,0,2.88503
120001,1,0.521989
125001,2,0.619507
130001,1,0.455546
135001,1,0.852335
140001,1,0.672128
145001,0,1.06158
150001,1,0.367287
155001,1,0.561076
160001,2,1.41998
165001,1,0.449047
170001,1,1.57465
175001,3,3.50907
180001,0,0.24809
185001,0,0.726183
190001,1,0.628992
195001,0,0.174041
200001,0,0.556628
205001,0,0.336095
210001,0,0.935964
215001,0,0.124085
220001,0,3.13736
225001,0,0.0905288
230001,2,0.288361
235001,1,0.428147
240001,1,2.10352
245001,0,0.977782
250001,1,1.15125
255001,0,1.09108
260001,2,1.2094
265001,1,0.148837
270001,0,0.667706
275001,0,5.04687
280001,1,0.354794
285001,0,0.934578
290001,2,1.89519
295001,1,2.1371
300001,0,0.285327
305001,2,0.0679082
310001,2,0.668139
315001,0,1.5686
320001,2,0.904566
325001,1,0.706331
330001,0,0.217828
335001,0,1.01768
340001,0,1.7731
345001,2,0.196271
350001,0,0.41692
355001,0,0.0794485
360001,0,0.131119
365001,0,2.12917
370001,2,3.09621
375001,0,0.39449
380001,0,0.732114
385001,0,1.8728
390001,2,0.562019
395001,1,0.177991
400001,0,1.54354
405001,0,0.307441
410001,2,0.0397054
415001,1,1.1805
420001,0,0.0673182
425001,1,1.75763
430001,2,1.18694
435001,1,0.513661
440001,1,0.845012
445001,2,3.38761
450001,4,0.500625
455001,1,1.10831
460001,2,4.55341
465001,0,0.668241
470001,3,1.09563
475001,0,0.0922994
480001,1,1.12927
485001,1,1.96998
490001,1,0.608066
495001,2,1.75364
500001,1,0.922997
505001,2,1.6949
510001,0,0.0996416
515001,0,0.186834
520001,0,0.357127
525001,0,0.0263805
530001,2,1.15369
535001,1,0.450854
540001,1,1.63072
545001,2,0.602518
550001,1,0.734659
555001,0,0.991476
560001,2,1.64848
565001,0,0.272494
570001,0,1.42427
575001,0,1.24952
580001,1,0.160346
585001,1,1.97558
590001,0,0.534935
595001,3,1.43212
600001,0,0.0053213
605001,0,0.952714
610001,0,0.158732
615001,0,0.10511
620001,1,1.51709
625001,1,0.715891
630001,5,3.41476
635001,3,0.801608
640001,0,0.0468141
645001,0,0.275661
650001,0,0.273905
655001,0,0.142837
660001,3,3.81434
665001,0,0.0809242
670001,0,0.795113
675001,0,0.202709
680001,1,3.57016
685001,0,0.144703
690001,0,0.201292
695001,2,1.71349
700001,1,0.283159
705001,0,0.305223
710001,0,0.428966
715001,0,0.555796
720001,0,1.9067
725001,0,1.0586
730001,1,3.192
735001,0,0.0636005
740001,0,0.99266
745001,5,2.0186
750001,0,1.00425
755001,0,0.316005
760001,2,0.464792
765001,0,1.06933
770001,1,2.0711
775001,1,0.698016
780001,2,2.30095
785001,0,0.230345
790001,1,0.462306
795001,3,0.816809
800001,1,0.61977
805001,1,1.01127
810001,0,0.236978
815001,0,0.303838
820001,1,0.385527
825001,0,0.0063129
830001,2,1.68092
835001,0,0.0439681
840001,0,0.354038
845001,0,0.270704
850001,2,1.07532
855001,1,0.583909
860001,0,0.78926
865001,1,0.432028
870001,3,2.43273
875001,2,0.482626
880001,0,0.534441
885001,1,0.923722
890001,0,0.138241
895001,1,1.77553
900001,1,0.267535
905001,1,0.27072
910001,1,0.180542
915001,2,0.98172
920001,2,0.596191
925001,1,0.0312612
930001,2,2.00774
935001,0,0.283877
940001,0,0.202857
945001,2,1.43956
950001,0,0.397653
955001,1,0.780924
960001,1,0.992038
965001,0,0.849631
970001,0,1.76754
975001,3,0.0831372
980001,0,0.186976
985001,0,0.74877
990001,2,0.259182
995001,2,0.402152
1000001,1,0.526584
1005001,0,0.00242396
1010001,1,1.82912
1015001,5,1.39808
1020001,1,0.245301
1025001,2,1.69462
1030001,1,0.037539
1035001,1,0.258508
1040001,1,0.424709
1045001,0,0.87752
1050001,1,0.93332
1055001,2,0.715638
1060001,0,0.11213
1065001,1,1.52298
1070001,0,0.784685
1075001,1,1.54832
1080001,0,0.0701081
1085001,1,0.183741
1090001,1,1.37315
1095001,0,0.31681
1100001,1,0.38607
1105001,4,0.60071
1110001,0,0.168291
1115001,1,1.56026
1120001,1,0.228276
1125001,1,0.968422
1130001,2,0.927969
1135001,0,0.293942
1140001,0,1.35377
1145001,0,0.978296
1150001,0,0.7716
1155001,3,1.513
1160001,0,0.198201
1165001,1,1.5604
1170001,1,0.278977
1175001,2,1.26108
1180001,2,4.26545
1185001,1,1.10045
1190001,1,0.750523
1195001,3,0.135444
1200001,1,0.344387
1205001,1,0.884247
1210001,1,1.56536
1215001,0,0.28472
1220001,0,0.534217
1225001,1,1.31493
1230001,0,0.0594567
1235001,0,0.155027
1240001,0,0.0704206
1245001,2,0.262064
1250001,0,0.16933
1255001,0,0.254142
1260001,0,2.18462
1265001,0,0.132275
1270001,1,0.691562
1275001,0,0.176349
1280001,1,0.627451
1285001,1,0.194611
1290001,2,0.542768
1295001,0,1.44483
1300001,0,0.394249
1305001,3,0.0896433
1310001,0,0.50196
1315001,2,0.73929
1320001,4,0.736455
1325001,0,0.105098
1330001,1,0.11163
1335001,0,0.0834004
1340001,0,0.716729
1345001,1,3.15288
1350001,0,0.186879
1355001,0,0.258793
1360001,2,1.60272
1365001,1,0.228428
1370001,0,1.11397
1375001,1,0.845591
1380001,0,1.5689
1385001,0,0.396891
1390001,1,1.77949
1395001,2,0.500158
1400001,3,0.607504
1405001,0,0.0586165
1410001,1,0.671019
1415001,0,0.171706
1420001,1,2.71049
1425001,1,0.751155
1430001,0,0.824311
1435001,1,2.64039
1440001,1,3.07163
1445001,0,0.243397
1450001,1,1.23416
1455001,0,0.164662
1460001,5,3.98149
1465001,1,0.609549
1470001,1,0.887653
1475001,2,1.83264
1480001,0,0.586901
1485001,0,0.216001
1490001,0,0.251436
1495001,0,0.87613
1500001,3,0.0671893
1505001,1,0.762453
1510001,3,3.24098
