generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,2878,7317,0,0.032,0,0.005,0
5001,2878,7317,0,0.0270194,0,0.0268194,0
5001,6938,NA,27402.5,2.56788e-05,1.14015e-05,0.000429386,0
5001,2878,4968,20.1904,0.000448337,-2.23489e-05,0.000246392,0
5001,2434,6409,23146,0.000455565,3.62976e-05,0.00077839,0
5001,6928,7157,24585.5,0.000553562,-4.64385e-06,0.00158441,0
5001,3518,NA,27938.9,3.66289e-05,-3.82457e-07,0.00388879,0
5001,6146,6080,8043.99,0.000734404,-2.61318e-05,0.000793361,0
5001,7130,NA,24438.9,8.26366e-06,-0.0163296,0.000956181,0
5001,5330,NA,26543.6,0.000440669,-0.00315664,0.0024742,0
10001,2878,7317,0,0.0270194,0,0.0268194,0
10001,2878,4968,29.7803,0.000466564,-2.23489e-05,0.000269591,0
10001,4479,6146,102.647,0.00155043,-2.61318e-05,0.000994594,0
10001,3518,NA,27064.8,0.000469839,-0.00446358,0.00275144,0
10001,7130,NA,24592.6,0.000493434,-0.0132477,0.00124791,0
15001,2878,7317,0,0.0270193,0,0.0269543,0
15001,5053,NA,27651.3,0.000127503,-0.000614005,0.00139519,0
15001,7161,7212,28717.8,0.00108549,-6.32379e-05,0.00228262,0
15001,2878,4968,21.9133,0.000490797,-2.23489e-05,0.000282869,0
15001,4479,3671,92.6118,0.00151388,-2.61318e-05,0.00099413,0
20001,2878,7317,0,0.0270139,0,0.0269501,0
20001,2878,4968,32.7346,0.00049534,-2.23489e-05,0.00029985,0
20001,4479,3671,95.4764,0.00141626,-2.61318e-05,0.000895387,0
25001,2878,7317,0,0.0269933,0,0.0269501,0
25001,2878,4968,56.7329,0.000534124,-2.23489e-05,0.000328258,0
25001,4479,3671,86.433,0.0013347,-2.61318e-05,0.000898411,0
30001,2878,7317,0,0.0269933,0,0.0269501,0
30001,2878,4968,5.29978,0.000552456,-2.23489e-05,0.000347706,0
30001,4479,3671,72.4209,0.00129219,-2.61318e-05,0.000844961,0
35001,2878,7317,0,0.0269933,0,0.0269501,0
35001,2878,4968,53.2867,0.000548126,-2.23489e-05,0.000328762,0
35001,4479,3671,88.3208,0.00125506,-2.61318e-05,0.000822216,0
40001,2878,7317,0,0.0269933,0,0.0269971,0
40001,2878,4968,17.5779,0.00063319,-2.23489e-05,0.000392199,0
40001,4479,3671,74.4658,0.00126985,-2.61318e-05,0.000828195,0
45001,2878,7317,0,0.026951,0,0.0269462,0
45001,3713,6346,13233.8,9.15097e-06,-1.55398e-05,3.03519e-05,0
45001,2878,4968,38.1327,0.000597337,-2.23489e-05,0.000372848,0
45001,4479,3671,84.7915,0.00121554,-2.61318e-05,0.000777968,0
50001,2878,7317,0,0.026951,0,0.0269462,0
50001,2878,NA,10858.1,1.02297e-05,1.50335e-05,0.000341182,0
50001,5152,5644,11201.1,0.00051162,-2.0276e-05,0.0005117,0
50001,3190,NA,27885.1,0.000131283,1.50409e-05,0.00041405,0
50001,2878,4968,46.0243,0.000633909,-2.23489e-05,0.000394279,0
50001,4479,3671,72.6446,0.00117297,-2.61318e-05,0.000745743,0
55001,2878,7317,0,0.026951,0,0.0269462,0
55001,6117,6481,25147.8,0.000569655,8.89881e-06,0.000173125,0
55001,2878,4968,48.8499,0.000665699,-2.23489e-05,0.000418919,0
55001,4479,3671,93.8408,0.00117284,-2.61318e-05,0.000732696,0
60001,2878,7317,0,0.00245832,0,0.000668795,0
60001,6665,NA,22618.2,0.000212931,-0.0110246,0.000198109,0
60001,2878,4968,68.607,0.00068598,-2.23489e-05,0.000437203,0
60001,7317,6842,5282.75,0.000135842,-1.53204e-05,0.000551206,0
60001,4479,3671,92.883,0.000943605,-2.61318e-05,0.000570853,0
65001,2878,7317,0,0.000275747,-0.015733,2.1056e-05,0
65001,5086,NA,28794.5,0.00152995,-0.00154246,0.00234815,0
65001,2878,3713,82.0425,0.000685263,-2.23489e-05,0.00043587,0
65001,7317,4479,61.4116,0.000940128,-2.61318e-05,0.000588922,0
70001,2878,7317,0,0.000178727,-0.0156757,3.28544e-05,0
70001,2878,3713,80.1988,0.00070604,-2.23489e-05,0.000437827,0
70001,7317,4479,61.1402,0.000820089,-2.61318e-05,0.000521827,0
75001,2878,7317,0,0.000273686,-0.00430116,4.18177e-05,0
75001,2878,3713,70.2375,0.000691741,-2.23489e-05,0.000451808,0
75001,7317,4479,25.0857,0.000952506,-2.61318e-05,0.000609237,0
80001,2878,7317,0,9.14679e-05,-0.0637803,3.1073e-05,0
80001,3896,7282,28644.5,0.00179623,-1.54889e-06,0.00029928,0
80001,2878,3713,71.9302,0.000726887,-2.23489e-05,0.000454187,0
80001,7317,4479,26.3812,0.000799601,-2.61318e-05,0.000502758,0
85001,2878,7317,0,0.000339953,-0.00329649,0.000119293,0
85001,6117,6481,25887.5,0.0014899,7.31865e-06,0.000128704,0
85001,6088,NA,7661.42,0.000141597,-0.0068342,0.000170741,0
85001,4267,NA,12022.5,0.000104336,-0.0051213,0.000175067,0
85001,2878,3713,69.3155,0.00073391,-2.23489e-05,0.000464208,0
85001,5810,NA,23723.1,0.000162115,-1.65304e-05,0.000515912,0
85001,7317,4479,16.4011,0.00085081,-2.61318e-05,0.000513838,0
90001,2878,7317,0,0.000737097,-0.0116329,7.11507e-06,0
90001,2878,3713,73.4214,0.000722801,-2.23489e-05,0.00046877,0
90001,7317,4479,37.1835,0.000771174,-2.61318e-05,0.000518668,0
95001,2878,7317,0,0.000769489,-0.0186983,5.76912e-05,0
95001,2878,3713,77.3745,0.00072424,-2.23489e-05,0.000475487,0
95001,7317,4479,50.9591,0.000751442,-2.61318e-05,0.000473008,0
100001,2878,7317,0,8.9501e-05,-0.0029528,1.47221e-05,0
100001,2878,3713,74.7635,0.000749924,-2.23489e-05,0.000472063,0
100001,7317,4479,30.4495,0.000766248,-2.61318e-05,0.00046799,0
105001,2878,7317,0,0.000362459,-0.00905849,3.65773e-05,0
105001,2878,3713,73.2015,0.00073766,-2.23489e-05,0.00047339,0
105001,7317,4479,26.8888,0.000571409,-2.61318e-05,0.000366181,0
110001,2878,7317,0,0.000217171,-0.00429811,9.21881e-06,0
110001,2878,3713,81.9589,0.000763577,-2.23489e-05,0.000475406,0
110001,7317,4479,66.0519,0.000413529,-2.61318e-05,0.000241512,0
115001,2878,7317,0,0.0001391,-0.00404,1.42354e-05,0
115001,2878,3713,70.1084,0.000808448,-2.23489e-05,0.000531322,0
115001,7317,4479,70.3827,0.000337151,-2.61318e-05,0.000184531,0
120001,2878,7317,0,0.00110305,-0.0225527,1.1965e-05,0
120001,2878,3713,83.1752,0.000773447,-2.23489e-05,0.000492266,0
120001,7317,4479,9.41406,0.000299807,-2.61318e-05,0.000142097,0
125001,2878,7317,0,0.000157538,-0.0089955,4.73385e-05,0
125001,5268,NA,29050.3,0.0014004,-3.24026e-06,0.00279317,0
125001,2878,3713,79.444,0.000787508,-2.23489e-05,0.000502791,0
125001,7317,4479,0.589688,0.000467592,-2.61318e-05,0.000251747,0
130001,2878,7317,0,0.000286895,-0.0152803,1.04007e-06,0
130001,6273,NA,23267.4,0.000668064,-0.000996329,0.000295717,0
130001,2878,3713,70.9513,0.000783914,-2.23489e-05,0.000515384,0
130001,7317,4479,13.8775,0.000420459,-2.61318e-05,0.000225211,0
135001,2878,7317,0,0.000180291,-0.005739,3.70456e-06,0
135001,2878,3713,71.194,0.00076992,-2.23489e-05,0.000495009,0
135001,7317,4479,31.0565,0.000339659,-2.61318e-05,0.000205637,0
140001,2878,7317,0,0.000216686,-0.00115113,2.89385e-05,0
140001,2878,3713,83.8493,0.000807235,-2.23489e-05,0.000522213,0
140001,7317,4479,47.8956,0.000189586,-2.61318e-05,7.39298e-05,0
145001,2878,7317,0,4.51109e-05,-0.00845968,2.08857e-06,0
145001,2878,3713,76.7695,0.000808657,-2.23489e-05,0.000522433,0
145001,7317,4479,69.1914,0.000188276,-2.61318e-05,9.62895e-05,0
150001,2878,7317,0,0.000655593,-0.0801038,3.39308e-06,0
150001,2878,3713,74.9812,0.000840693,-2.23489e-05,0.000542365,0
150001,7317,4479,47.7037,0.000220837,-2.61318e-05,9.11715e-05,0
155001,2878,7317,0,9.93886e-05,-0.0132682,1.39472e-05,0
155001,2878,3713,81.1775,0.000844738,-2.23489e-05,0.000545866,0
155001,7317,4479,60.8155,0.000221812,-2.61318e-05,0.000104615,0
160001,2878,7317,0,0.000184933,-0.00761019,2.06956e-06,0
160001,2878,3713,77.8625,0.00085052,-2.23489e-05,0.000554065,0
160001,7317,4479,11.3833,0.000323245,-2.61318e-05,0.000169576,0
165001,2878,7317,0,0.000796742,-0.0409222,1.80513e-05,0
165001,2878,3713,73.4918,0.000832313,-2.23489e-05,0.000533502,0
165001,7317,4479,1.22278,0.000485246,-2.61318e-05,0.000301756,0
170001,2878,7317,0,0.000296803,-0.00540397,1.92967e-05,0
170001,2878,3713,81.9362,0.000814533,-2.23489e-05,0.000539847,0
170001,7317,4479,68.9384,0.0005712,-2.61318e-05,0.000345008,0
175001,2878,7317,0,0.000283827,-0.0381106,1.65015e-05,0
175001,6864,7221,27555.2,0.000531656,-4.47764e-05,0.000478805,0
175001,2878,3713,83.3575,0.000787468,-2.23489e-05,0.000516878,0
175001,7317,4479,33.5756,0.000464493,-2.61318e-05,0.000268847,0
180001,2878,7317,0,0.000168566,-0.00337393,5.80873e-05,0
180001,6334,NA,29173.7,0.000690472,0.000206631,0.00087428,0
180001,2878,3713,83.9785,0.000827783,-2.23489e-05,0.000539464,0
180001,7317,4479,9.466,0.00029473,-2.61318e-05,0.000158845,0
185001,2878,7317,0,0.00063749,-0.0182255,3.44951e-05,0
185001,2878,3713,69.8188,0.000819452,-2.23489e-05,0.000520263,0
185001,7317,4479,33.2823,0.000329598,-2.61318e-05,0.000169229,0
190001,2878,7317,0,0.000339302,-0.00735337,1.05504e-05,0
190001,2878,3713,74.9251,0.000796796,-2.23489e-05,0.000520678,0
190001,7317,4479,52.9811,0.000195695,-2.61318e-05,0.000100328,0
195001,2878,7317,0,0.000110479,-0.00950026,4.92149e-05,0
195001,6668,NA,29506.4,2.9131e-05,-0.00247152,6.94674e-06,0
195001,2878,3713,75.5693,0.000766752,-2.23489e-05,0.000504363,0
195001,5874,NA,28120.1,0.00094347,-4.04333e-05,0.00109718,0
195001,7317,4479,20.202,0.000189869,-2.61318e-05,6.92975e-05,0
200001,2878,7317,0,0.000365709,-0.0409653,4.16509e-05,0
200001,2878,3713,88.4704,0.000770084,-2.23489e-05,0.000494697,0
200001,7317,4479,44.6172,0.000210914,-2.61318e-05,0.000108788,0
205001,2878,7317,0,0.000379262,-0.0134006,0.000120224,0
205001,2878,3713,82.0495,0.00074915,-2.23489e-05,0.000466968,0
205001,7317,4479,27.9915,0.000381215,-2.61318e-05,0.000210599,0
210001,2878,7317,0,0.000759438,-0.00463765,5.52642e-06,0
210001,2878,3713,84.9887,0.000724673,-2.23489e-05,0.000464512,0
210001,7317,4479,51.2707,0.000322544,-2.61318e-05,0.000198063,0
215001,2878,7317,0,0.000635213,-0.00750413,7.70794e-05,0
215001,2878,3713,72.8912,0.000775524,-2.23489e-05,0.00048836,0
215001,7317,4479,6.12414,0.000491435,-2.61318e-05,0.000273341,0
220001,2878,7317,0,0.000443779,-0.000575055,8.88563e-05,0
220001,6067,NA,29368.1,0.000390481,-3.39775e-06,0.00073009,0
220001,2878,3713,83.0047,0.000769706,-2.23489e-05,0.000496572,0
220001,7317,4479,51.4558,0.000387472,-2.61318e-05,0.000211398,0
225001,2878,7317,0,0.000235965,-0.00462067,2.96959e-05,0
225001,5275,NA,27674.6,4.54321e-05,1.11256e-06,0.00032692,0
225001,2878,3713,78.5344,0.000772601,-2.23489e-05,0.000496572,0
225001,6425,NA,26957.7,0.000571232,-1.9873e-07,0.000168812,0
225001,7317,4479,66.8415,0.000266279,-2.61318e-05,0.000141811,0
