generation,N_shifts,eventRate
1,0,0.366198
5001,1,0.957153
10001,1,0.312252
15001,1,1.99527
20001,2,1.54303
25001,4,0.164796
30001,2,0.568748
35001,0,0.586202
40001,1,0.435387
45001,0,0.400968
50001,2,2.55035
55001,1,0.23326
60001,0,0.0440977
65001,0,0.136432
70001,0,0.0968235
75001,1,1.34666
80001,1,0.859255
85001,1,0.936972
90001,2,1.64058
95001,0,0.270658
100001,0,1.58754
105001,2,2.14069
110001,0,2.29252
115001,1,0.485563
120001,5,1.1861
125001,1,1.81645
130001,0,0.0499227
135001,0,0.533869
140001,2,1.80979
145001,1,3.28799
150001,1,0.444263
155001,0,0.461998
160001,0,0.662679
165001,0,0.194734
170001,0,0.0422337
175001,0,2.31803
180001,0,0.861238
185001,2,1.82092
190001,0,0.0139733
195001,2,1.86359
200001,4,3.72828
205001,0,0.226664
210001,1,2.69608
215001,0,0.196863
220001,2,0.638088
225001,1,0.910243
230001,1,2.16175
235001,3,0.466681
240001,0,0.888165
245001,0,0.0449086
250001,2,1.39972
255001,1,0.222991
260001,1,1.10311
265001,2,1.57525
270001,0,1.75843
275001,1,0.0147879
280001,1,2.44793
285001,2,0.456674
290001,0,0.189233
295001,0,0.200668
300001,1,1.16573
305001,1,0.298753
310001,1,2.63459
315001,1,2.18415
320001,0,0.0656292
325001,1,0.359559
330001,0,0.715818
335001,1,2.22143
340001,2,1.04083
345001,2,0.413119
350001,0,1.18758
355001,1,0.709431
360001,0,0.116804
365001,0,0.318812
370001,0,0.350748
375001,0,1.53449
380001,2,1.62763
385001,1,1.70444
390001,1,0.417716
395001,3,5.32955
400001,0,0.441146
405001,1,0.15317
410001,2,1.22342
415001,0,0.365135
420001,0,0.38681
425001,1,0.162435
430001,0,0.13247
435001,1,0.8597
440001,0,0.122455
445001,0,0.571083
450001,0,0.36908
455001,3,0.829067
460001,0,0.468657
465001,1,0.717448
470001,0,0.94624
475001,0,0.0805192
480001,0,0.297292
485001,0,0.154978
490001,3,1.86593
495001,0,0.647023
500001,1,0.513377
505001,0,0.19559
510001,2,0.489388
515001,0,1.03848
520001,0,0.0425424
525001,0,2.86044
530001,1,3.66884
535001,1,1.0668
540001,3,1.67668
545001,1,0.271649
550001,1,0.462676
555001,0,0.877961
560001,0,0.347725
565001,1,0.392061
570001,0,0.205267
575001,2,1.06017
580001,1,0.726584
585001,2,1.36284
590001,1,0.397562
595001,1,0.603286
600001,0,1.12454
605001,0,0.0476694
610001,4,4.53373
615001,1,1.16627
620001,2,2.54015
625001,5,0.685905
630001,0,0.727297
635001,2,1.41103
640001,1,0.0485309
645001,1,1.74367
650001,0,0.0266805
655001,0,0.868859
660001,3,2.49417
665001,0,0.210774
670001,0,0.274023
675001,0,0.186189
680001,4,2.42133
685001,2,1.6607
690001,0,0.0884672
695001,3,1.29007
700001,0,0.792894
705001,0,0.0777211
710001,1,1.04551
715001,0,0.351967
720001,1,1.48705
725001,5,0.664929
730001,1,0.581338
735001,2,1.29751
740001,3,4.89395
745001,0,0.865347
750001,3,0.330856
755001,0,0.27154
760001,0,0.261834
765001,0,0.289713
770001,4,2.10241
775001,0,0.896021
780001,3,1.03881
785001,1,1.69686
790001,2,1.39941
795001,0,0.124453
800001,2,1.10655
805001,1,0.830119
810001,1,0.359051
815001,0,0.130264
820001,0,1.60415
825001,1,0.323706
830001,0,0.22714
835001,2,2.52664
840001,0,0.818956
845001,1,0.752181
850001,0,0.209033
855001,1,0.463241
860001,0,0.306506
