generation,N_shifts,eventRate
1,0,0.97068
5001,0,0.409388
10001,0,0.250815
15001,1,0.997632
20001,0,0.667615
25001,1,0.955748
30001,1,0.757954
35001,1,0.605528
40001,0,0.409293
45001,1,0.0599216
50001,2,1.53753
55001,2,0.377541
60001,0,0.181225
65001,1,1.08685
70001,1,1.80331
75001,1,0.792269
80001,1,0.432281
85001,1,0.624773
90001,1,0.99428
95001,1,0.208517
100001,0,0.0395413
105001,1,1.1176
110001,4,2.07084
115001,0,0.213937
120001,0,0.291323
125001,2,0.309185
130001,2,1.27607
135001,3,2.95812
140001,6,1.40207
145001,4,0.557717
150001,1,1.03616
155001,1,0.208428
160001,0,1.16457
165001,1,0.15041
170001,0,0.862969
175001,0,0.167247
180001,3,0.662494
185001,2,1.82812
190001,3,0.776275
195001,0,0.659253
200001,0,0.901123
205001,0,0.216471
210001,0,0.327219
215001,0,0.3894
220001,0,0.135883
225001,0,1.29162
230001,1,2.89368
235001,0,0.0192095
240001,0,0.228869
245001,0,2.58978
250001,3,2.5324
255001,0,0.070747
260001,2,3.14047
265001,0,0.649294
270001,2,1.03243
275001,1,0.0189987
280001,1,1.42593
285001,1,0.375271
290001,1,0.228683
295001,3,1.52273
300001,0,0.112317
305001,0,0.447271
310001,1,1.69864
315001,1,0.84426
320001,2,0.877223
325001,3,0.957998
330001,1,1.32527
335001,0,0.188128
340001,1,1.13267
345001,2,4.18033
350001,0,0.457542
355001,0,1.37439
360001,0,0.362392
365001,0,1.13292
370001,3,0.260283
375001,0,0.157277
380001,2,0.405849
385001,0,0.0438719
390001,1,0.0808295
395001,2,0.374509
400001,0,0.104553
405001,2,0.521724
410001,1,1.5957
415001,1,2.04303
420001,1,0.673913
425001,2,1.77714
430001,1,2.20219
435001,0,1.60764
440001,1,0.160484
445001,1,0.238136
450001,2,0.692888
455001,2,3.42882
460001,0,0.128003
465001,0,1.87089
470001,2,0.430309
475001,1,3.78122
480001,1,0.15439
485001,2,0.997148
490001,0,0.463528
495001,4,2.37024
500001,2,2.66105
505001,0,0.906966
510001,0,0.935281
515001,2,2.25435
520001,3,0.928642
525001,2,1.51667
530001,0,1.61341
535001,0,0.216494
540001,2,4.90343
545001,2,1.67462
550001,2,0.459572
555001,1,1.76203
560001,1,0.418085
565001,0,0.747895
570001,0,0.0861431
575001,2,3.22465
580001,0,2.14035
585001,0,0.260045
590001,1,1.33544
595001,3,0.514012
600001,1,2.69699
605001,0,0.242562
610001,1,0.808434
615001,2,0.260934
620001,2,2.4682
625001,1,0.386004
630001,0,1.26733
635001,0,0.505369
640001,3,1.06614
645001,0,0.00989936
650001,4,1.7307
655001,0,0.00869946
660001,0,0.822786
665001,1,2.51911
670001,1,1.61683
675001,0,2.9607
680001,1,1.07537
685001,0,1.63428
690001,0,0.0228567
695001,0,0.0674103
700001,0,1.87493
705001,0,0.00269586
710001,2,2.14739
715001,0,0.233686
720001,0,0.720638
725001,1,3.42006
730001,0,0.00495729
735001,0,0.0190134
740001,1,2.44587
745001,2,0.632173
750001,0,0.134894
755001,1,0.280245
760001,2,2.30553
765001,0,1.8904
770001,3,3.65561
775001,1,0.0533338
780001,1,0.0347828
785001,1,1.98553
790001,1,2.80021
795001,2,0.498655
800001,0,0.116034
805001,0,0.235734
810001,1,0.299909
815001,1,0.828843
820001,0,0.136336
825001,0,0.415445
830001,0,2.71143
835001,1,1.00028
840001,0,0.457243
845001,2,1.10143
850001,0,0.924486
855001,0,1.73845
860001,1,0.51582
865001,3,0.23069
870001,0,0.476314
875001,2,1.22582
880001,2,0.66489
885001,4,0.579967
890001,0,0.101089
895001,0,0.393944
900001,2,0.936732
905001,0,1.00265
910001,0,0.167139
915001,4,2.94138
920001,1,2.91046
925001,0,0.946061
930001,0,0.241944
935001,0,0.186329
940001,2,0.758125
945001,0,0.126492
950001,3,5.13459
955001,1,1.98037
960001,0,0.0561799
965001,1,0.0691967
970001,1,0.28208
975001,1,0.939806
980001,0,1.75989
985001,0,0.895062
990001,1,0.83696
995001,0,0.572922
1000001,0,1.17013
1005001,0,0.553872
1010001,2,3.12101
1015001,1,2.10354
1020001,1,0.762622
1025001,0,2.30912
1030001,0,0.817481
1035001,2,1.7803
1040001,1,1.4591
1045001,1,1.10817
1050001,1,3.01814
1055001,2,1.80856
1060001,0,0.580405
1065001,0,0.699958
1070001,0,3.26173
1075001,2,0.89203
1080001,0,0.549837
1085001,1,0.421878
1090001,3,1.27624
1095001,0,1.87076
1100001,1,1.12894
1105001,0,0.12947
1110001,1,0.562983
1115001,4,1.18184
1120001,2,1.93717
1125001,0,0.0471651
1130001,4,4.0372
1135001,0,0.141804
1140001,0,0.172921
1145001,3,3.86988
1150001,0,0.10513
1155001,2,1.79246
1160001,2,1.06747
1165001,1,1.55309
1170001,1,1.03989
1175001,0,0.460292
1180001,0,0.283306
1185001,2,0.321047
1190001,2,4.51446
1195001,0,4.71084
1200001,0,0.21754
1205001,0,1.742
1210001,1,1.48135
1215001,0,0.304801
1220001,0,0.567409
1225001,3,1.72704
1230001,0,0.261278
1235001,1,1.5657
1240001,0,0.755559
1245001,0,0.427963
1250001,1,0.32509
1255001,2,1.46489
1260001,1,0.0991489
1265001,0,0.823538
1270001,2,1.74788
1275001,0,0.132787
1280001,2,1.89368
1285001,0,0.525275
1290001,0,0.148092
1295001,0,0.224787
1300001,0,0.154905
1305001,0,0.415762
1310001,0,0.334835
1315001,0,0.270699
1320001,3,2.00178
1325001,3,3.00568
1330001,0,0.135464
1335001,0,1.33749
1340001,0,0.207194
1345001,1,2.29007
1350001,0,0.208571
1355001,2,1.90946
1360001,0,0.616457
1365001,1,0.493857
1370001,2,1.18028
1375001,1,1.63512
1380001,2,4.34751
1385001,1,0.0406033
1390001,1,5.42254
1395001,0,0.188295
1400001,2,0.477915
1405001,0,0.688342
1410001,2,0.270323
1415001,1,0.35817
1420001,0,0.813858
1425001,0,0.351332
1430001,1,2.94371
1435001,0,0.615316
1440001,1,1.72803
1445001,1,0.433566
1450001,5,1.33601
1455001,1,1.10072
1460001,0,0.520885
1465001,0,0.118718
1470001,0,0.228969
1475001,0,0.118226
1480001,0,0.0120049
1485001,3,0.838762
1490001,0,0.137283
1495001,0,0.536658
1500001,1,0.49337
1505001,0,0.211732
1510001,3,0.558132
1515001,0,0.302826
1520001,0,0.858109
1525001,1,1.34678
1530001,2,2.00359
1535001,1,0.107161
1540001,0,0.48554
1545001,0,0.193573
1550001,1,0.173318
1555001,0,0.949092
1560001,0,1.4182
1565001,0,0.194919
1570001,3,0.0155029
1575001,1,3.39502
1580001,0,0.0835441
1585001,0,0.187565
1590001,2,2.35511
1595001,1,1.16013
1600001,0,0.309992
1605001,3,2.83757
1610001,0,0.398694
1615001,1,1.002
1620001,0,2.1061
1625001,2,2.4576
