generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,24192,23871,0,0.032,0,0.005,0
5001,24192,23871,0,0.00554886,0,0.00544202,0
5001,21062,15389,11403.5,0.000201782,3.84763e-06,0.000270396,0
5001,19532,25330,7369.93,0.000150933,3.04263e-06,0.000197955,0
5001,24044,20803,79397.5,0.000153219,2.34939e-05,0.000103458,0
5001,24705,24426,38130.9,0.000175121,3.34561e-06,0.000250636,0
5001,24028,NA,95954.8,0.000826419,6.88565e-06,0.00113586,0
5001,24240,25074,27898,0.000168154,4.83454e-06,0.000202667,0
5001,23246,21322,59828.9,0.000242153,-1.94737e-06,0.000349743,0
5001,25106,23794,29419.3,3.19409e-05,2.6283e-05,9.80632e-05,0
5001,22806,NA,75984.8,0.000104218,1.67734e-05,0.000491324,0
5001,22027,23556,61931.8,0.000141865,4.92012e-06,0.000148002,0
5001,20764,24597,82045,0.000344141,-1.63262e-05,0.000893252,0
5001,22936,24883,78516.4,0.000170966,-5.31533e-06,2.84612e-05,0
5001,21843,23068,59191.3,6.78669e-05,-8.48373e-06,0.000279368,0
5001,23474,24532,90766.6,0.000468946,1.3753e-05,9.01382e-05,0
5001,24624,24557,38575.4,0.000125439,1.72237e-05,0.000332436,0
5001,24928,23134,79657.7,0.000169636,-4.55831e-06,0.000174522,0
5001,23871,24921,885.27,0.000249478,6.68496e-06,0.000291295,0
5001,24727,22961,53794.6,5.48632e-05,7.73161e-06,1.21724e-05,0
5001,21628,21717,64324.1,0.000158714,6.55932e-06,0.000341798,0
5001,23116,24194,71394.1,0.000343532,-1.22021e-05,0.000415391,0
10001,24192,23871,0,0.00554886,0,0.00544202,0
10001,24192,21062,213.418,0.000126301,3.04263e-06,0.000147549,0
10001,22027,NA,85828.9,0.000182679,1.55274e-06,0.000449437,0
10001,22027,22345,54286.8,0.000165985,4.92012e-06,0.000159334,0
10001,24705,24426,30627.2,0.000157469,3.34561e-06,0.000210436,0
10001,21550,23505,35234.8,0.00012101,-6.66376e-06,3.29828e-05,0
10001,25125,19107,62785.9,0.000162126,3.84763e-06,0.000163744,0
10001,24885,NA,90890.1,0.000341501,1.69916e-05,0.000875587,0
10001,24028,23525,65876,0.000332842,1.3753e-05,0.00045731,0
10001,24240,25074,34436.6,0.000220156,4.83454e-06,0.000249096,0
10001,24951,25030,49051.6,7.73311e-05,1.67734e-05,0.000289705,0
10001,22160,24507,62497,0.000298731,-1.94737e-06,0.000422843,0
10001,25106,23794,25501.5,4.0002e-05,2.6283e-05,0.000145332,0
10001,20780,24176,60006.4,0.000318021,-8.48373e-06,0.000388953,0
10001,20764,24597,84911.3,0.000411127,-1.63262e-05,0.000681397,0
10001,22936,24883,66210.1,0.000213082,-5.31533e-06,6.28262e-05,0
10001,23964,23493,59246.4,0.000765626,-8.1233e-07,0.000791774,0
10001,22945,23459,76953.9,0.000421584,1.82454e-05,0.000482825,0
10001,24507,23589,78257.1,0.000269079,-8.33557e-06,0.000318425,0
10001,24044,20803,63247.5,0.000126011,2.34939e-05,0.000229323,0
10001,24624,24557,42445.5,8.17749e-05,1.72237e-05,0.000189306,0
10001,24928,NA,81865.8,5.08133e-05,-4.55831e-06,0.000262547,0
10001,23813,18902,534.116,0.000195199,6.68496e-06,0.000298771,0
10001,24727,22961,57367.4,5.40516e-05,7.73161e-06,3.11366e-05,0
10001,21628,21717,58117,0.00011578,6.55932e-06,0.000289352,0
10001,23116,24194,67284.4,0.000120492,-1.22021e-05,0.000207728,0
15001,24192,23871,0,0.00554886,0,0.00544202,0
15001,24192,21062,247.352,0.000140108,3.04263e-06,0.000160459,0
15001,19532,25330,37834.5,0.00024226,-8.48373e-06,0.000308851,0
15001,22027,NA,75143.1,0.000106045,-0.00704999,0.000231407,0
15001,22027,22345,51860.2,0.000165358,4.92012e-06,0.000115029,0
15001,24028,23525,41810.7,0.000206139,1.3753e-05,0.000371202,0
15001,23034,NA,97933.6,1.41932e-05,-0.00482479,8.05872e-05,0
15001,23474,23401,39363.6,0.000178313,6.17935e-06,0.000245961,0
15001,24705,24426,45972.9,0.000219141,3.34561e-06,0.000293263,0
15001,25106,23794,19125.5,5.25144e-05,2.6283e-05,0.00020253,0
15001,22936,24883,46585.2,0.000285975,-5.31533e-06,0.000316462,0
15001,23964,23493,64080.6,0.000805277,-8.1233e-07,0.000887219,0
15001,22160,24507,68373,0.000261911,-1.94737e-06,0.000197143,0
15001,20634,24678,72313.5,5.90806e-05,-4.55831e-06,0.000365977,0
15001,21550,23505,31373.5,0.00027565,-6.66376e-06,0.000281893,0
15001,24240,25074,33503,0.000182039,4.83454e-06,0.000246335,0
15001,24648,24974,49317.9,0.000152649,-5.02417e-06,0.000194611,0
15001,24951,25030,58305.4,0.000182054,1.67734e-05,0.000469982,0
15001,20764,24597,84493.2,0.000380474,-1.63262e-05,0.000936626,0
15001,24044,20803,59930.4,7.3829e-05,2.34939e-05,0.000202134,0
15001,17864,24713,65091.1,0.000232272,-1.00987e-05,0.000320746,0
15001,24624,24557,41986.6,0.000160973,1.72237e-05,0.000310824,0
15001,25125,19107,53441,0.000241753,3.84763e-06,0.000206276,0
15001,23813,18902,252.24,0.000235226,-1.19087e-05,0.000118481,0
15001,24727,22961,50362.4,7.68265e-05,7.73161e-06,0.000113852,0
15001,22458,21968,79435.3,0.000255903,6.55932e-06,0.000193829,0
15001,17203,23918,3667.61,2.55499e-05,1.60771e-05,7.85426e-05,0
15001,22294,24670,1253.36,0.000191084,6.68496e-06,0.000245737,0
15001,17063,NA,85094.1,0.00021382,1.69916e-05,0.000934599,0
20001,24192,23871,0,0.00554886,0,0.0054617,0
20001,24192,21062,219.697,0.000140021,3.04263e-06,0.000137841,0
20001,19532,25330,43088,0.000256306,-8.48373e-06,0.000336507,0
20001,20634,24678,73915.3,0.000321911,-4.55831e-06,0.000473927,0
20001,20634,25103,40116.4,0.000106876,4.92012e-06,8.29843e-05,0
20001,21144,20634,14025.6,5.52121e-05,-2.6382e-06,1.07781e-05,0
20001,24705,24426,38245.7,0.000237664,3.34561e-06,0.000285307,0
20001,21550,23505,21111.4,0.000256689,-6.66376e-06,0.000265958,0
20001,24028,23525,40962.6,0.000145693,1.3753e-05,0.000349035,0
20001,23034,25297,70131.7,0.000445189,-6.49693e-06,0.000459575,0
20001,23655,24220,49798.9,0.000271193,-1.83848e-06,0.000260766,0
20001,24240,25074,33333.4,0.000180496,4.83454e-06,0.000203843,0
20001,24648,24974,40789.5,3.52417e-05,-5.02417e-06,4.67872e-05,0
20001,25183,24523,73444.6,0.000400701,-1.63262e-05,0.000329262,0
20001,24951,25030,51682,0.000152566,1.67734e-05,0.000363926,0
20001,24642,24486,91072,0.000224664,2.64645e-05,0.000183088,0
20001,25106,23794,17673.8,2.23257e-05,2.6283e-05,0.000114507,0
20001,24504,23854,40708.5,0.000309339,-1.02824e-05,0.000202705,0
20001,22936,24883,40817,0.000296137,-5.31533e-06,0.000292817,0
20001,23964,23493,69169.3,0.000678163,-8.1233e-07,0.000767233,0
20001,22160,24507,61763.3,0.000253732,-1.94737e-06,0.00023541,0
20001,24044,20803,72434.8,0.000370161,-4.97471e-06,0.000261243,0
20001,22181,24044,52734.9,0.000208662,-0.00369844,9.71503e-05,0
20001,17864,24713,58135.8,0.000288601,-1.00987e-05,0.000303264,0
20001,23474,23401,42402,0.000241433,6.17935e-06,0.000329867,0
20001,24624,24557,55742.2,0.000206975,1.72237e-05,0.000349857,0
20001,25125,19107,55198.6,0.000164726,3.84763e-06,0.000219941,0
20001,23813,18902,252.24,0.000149765,-1.19087e-05,7.13594e-05,0
20001,24727,22961,52336.5,7.04113e-05,7.73161e-06,9.60165e-05,0
20001,22458,21968,70088.1,0.000254107,6.55932e-06,0.000446003,0
20001,17203,23918,1363.97,2.35903e-05,1.60771e-05,8.23443e-05,0
20001,22294,24670,9908.83,0.000112389,6.68496e-06,0.000168915,0
25001,24192,23871,0,0.00554886,0,0.0054617,0
25001,24759,25495,89265.9,0.00036427,-4.55831e-06,0.000366477,0
25001,24440,25418,96142.4,0.000351244,7.24331e-07,0.00075937,0
25001,21550,23505,62574.7,0.000203559,3.99198e-06,0.000233084,0
25001,21144,25125,216.876,0.000107639,-2.6382e-06,6.74853e-05,0
25001,23426,24954,44114.7,0.000296299,-1.83848e-06,0.000274468,0
25001,23034,25297,69089.8,0.000277209,-6.49693e-06,0.000172642,0
25001,24240,25074,27575.4,0.00015641,4.83454e-06,0.00014686,0
25001,25183,24523,80314.5,0.000464076,-1.63262e-05,0.000269274,0
25001,24951,25030,56373.6,0.000246123,1.67734e-05,0.000297759,0
25001,22936,24883,31292.3,0.000293068,-5.31533e-06,0.000239654,0
25001,23185,24130,78806.2,2.57372e-05,8.7269e-06,0.000122072,0
25001,22160,24507,59551.2,0.000242608,-1.94737e-06,0.000137868,0
25001,22181,NA,62694.6,0.000328878,-0.00134876,5.97767e-05,0
25001,20317,24744,85541.7,0.000439883,-1.00987e-05,0.000400774,0
25001,25106,23794,7485.71,1.69906e-05,2.6283e-05,2.67902e-05,0
25001,24192,19532,26.2339,0.000212609,-1.19087e-05,0.000102217,0
25001,22458,21494,60995.2,0.000395295,6.55932e-06,0.000413912,0
25001,23871,24921,60416,0.00017286,-1.94397e-05,0.000393939,0
25001,23655,24220,20630.4,7.48171e-05,7.73161e-06,0.000118626,0
25001,22361,22109,260.003,7.0595e-05,3.04263e-06,6.18755e-05,0
25001,17203,23918,1757.26,1.39031e-05,1.60771e-05,2.66238e-05,0
25001,22294,24670,19267.8,0.000133279,6.68496e-06,0.000209975,0
30001,24192,23871,0,0.00548338,0,0.0054617,0
30001,24240,25074,43623.7,0.000216057,4.83454e-06,0.000265754,0
30001,25183,24523,78160.5,0.00042062,7.17425e-06,0.000417162,0
30001,25573,22603,64504.6,0.000290206,6.55932e-06,0.000219508,0
30001,19532,21144,107.207,0.000165757,-2.6382e-06,0.000116692,0
30001,24192,19532,84.9526,0.000224197,-1.19087e-05,9.57429e-05,0
30001,23871,24921,70799,0.000356055,-1.94397e-05,0.000514939,0
30001,22361,22109,351.783,4.12482e-05,3.04263e-06,2.10689e-05,0
30001,17203,23918,249.778,1.48694e-05,1.60771e-05,7.80698e-06,0
30001,22294,24670,23277.8,5.33976e-05,6.68496e-06,8.41304e-05,0
30001,17063,NA,624.203,0.00012619,-1.63262e-05,8.05516e-05,0
35001,24192,23871,0,0.00547268,0,0.0054703,0
35001,25337,25280,96352.8,0.000457941,-9.34363e-06,1.20019e-05,0
35001,19532,21144,107.207,0.000213202,-2.6382e-06,0.00016538,0
35001,25380,NA,86974,0.000178876,3.88871e-06,0.000252102,0
35001,24192,19532,37.0839,0.000329985,-1.19087e-05,0.000172662,0
35001,23871,24921,78689.1,0.00041321,-1.94397e-05,0.000450181,0
35001,22361,22109,188.497,4.06052e-05,3.04263e-06,3.99338e-05,0
35001,17203,23918,743.703,9.36804e-06,1.60771e-05,1.46427e-05,0
35001,22294,24670,1648.4,5.16781e-05,6.68496e-06,3.57004e-05,0
35001,17063,NA,3218.93,0.000299921,-0.000250531,3.62078e-05,0
40001,24192,23871,0,8.39887e-05,0,6.53195e-05,0
40001,25345,24787,85608.6,0.000583355,-9.34363e-06,0.000399289,0
40001,25106,NA,96478.8,5.88659e-05,-1.7491e-05,0.000803764,0
40001,24192,19532,86.4693,0.000228784,-2.6382e-06,0.000178863,0
45001,24192,23871,0,5.56641e-05,0,4.50478e-05,0
45001,23511,24534,3333.38,5.29203e-05,4.72593e-06,1.21701e-05,0
45001,24192,19532,18.79,0.000262118,-2.6382e-06,0.000209336,0
50001,24192,23871,0,7.41842e-05,0,6.35154e-05,0
50001,24240,25074,50400,0.000478178,-7.61336e-06,0.000395237,0
50001,24192,19532,10.8573,0.00027011,-2.6382e-06,0.000220782,0
55001,24192,23871,0,9.06012e-05,0,8.2706e-05,0
55001,21144,25125,209.79,0.00028814,-2.6382e-06,0.000230643,0
60001,24192,23871,0,0.000110458,0,9.77844e-05,0
60001,22294,NA,97313.9,0.000272075,-2.9056e-05,0.000411859,0
60001,21144,25125,240.452,0.000311961,-2.6382e-06,0.000261866,0
60001,22294,24899,88706.8,3.89801e-05,-5.08821e-06,1.90741e-05,0
65001,24192,23871,0,0.00010962,0,9.42754e-05,0
65001,21144,25125,312.673,0.000316873,-2.6382e-06,0.000256058,0
70001,24192,23871,0,0.000100904,0,7.41793e-05,0
70001,21144,25125,195.204,0.000339168,-2.6382e-06,0.000274789,0
75001,24192,23871,0,0.000105763,0,8.8935e-05,0
75001,21144,25125,176.434,0.000332834,-2.6382e-06,0.000275899,0
80001,24192,23871,0,0.00013209,0,0.000124401,0
80001,19532,21144,140.272,0.000331623,-2.6382e-06,0.000269248,0
85001,24192,23871,0,0.000122587,0,0.00010508,0
85001,19532,21144,123.648,0.000330165,-2.6382e-06,0.000269355,0
90001,24192,23871,0,8.38545e-05,0,5.86837e-05,0
