generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1,0,-620.341,-305478,1,0
5001,11,-839.91,-7984.37,0.209365,0.445
10001,7,-915.667,-7655.17,0.9816,0.406
15001,4,-969.274,-7588.87,1.14241,0.293
20001,5,86.571,-7559.59,1.06146,0.369
25001,4,80.1122,-7551.84,0.179104,0.399
30001,4,79.0849,-7551.84,0.826137,0.389
35001,4,77.1727,-7553.96,0.486794,0.351
40001,6,111.48,-7551.22,0.195327,0.351
45001,6,110.99,-7548.88,0.0313802,0.362
50001,4,79.6051,-7550.88,1.93593,0.387
55001,3,59.6382,-7555.89,2.13554,0.399
60001,3,60.9043,-7555.26,0.512625,0.393
65001,4,80.0216,-7558.92,0.222867,0.38
70001,4,82.1407,-7557.1,0.515739,0.38
75001,3,61.4233,-7557.04,0.182307,0.415
80001,3,56.7002,-7554.6,1.8463,0.366
85001,3,59.0553,-7553.21,0.397737,0.333
90001,3,57.5876,-7553.79,1.28918,0.403
95001,3,58.5281,-7558.58,0.105149,0.325
100001,4,77.1837,-7556.98,2.85822,0.381
105001,3,56.4955,-7558.32,3.73112,0.333
110001,3,59.9041,-7557.22,0.146292,0.411
115001,5,92.3641,-7543.56,0.748895,0.339
120001,4,79.3212,-7555.7,0.65319,0.388
125001,4,78.0451,-7553.64,1.19467,0.369
130001,4,74.3265,-7551.68,0.523073,0.351
135001,3,60.0144,-7555.51,0.128916,0.349
140001,3,59.6459,-7551.53,0.0210436,0.397
145001,3,55.0526,-7552.83,0.822515,0.32
150001,3,59.9071,-7555.86,0.929667,0.353
155001,3,52.7083,-7550.75,1.87212,0.385
160001,3,60.3737,-7555.44,0.466361,0.427
165001,3,57.5436,-7554.99,5.07156,0.373
170001,4,79.9623,-7553.39,0.342105,0.388
175001,3,60.0306,-7553.49,1.11662,0.369
180001,3,60.2585,-7557.27,2.3163,0.35
185001,4,79.992,-7553.2,1.34756,0.382
190001,3,57.9586,-7557.61,3.95767,0.367
195001,3,60.8732,-7554.41,0.0383918,0.38
200001,3,61.3775,-7560.27,0.575849,0.393
205001,6,115.041,-7550.52,0.785688,0.37
210001,4,76.5181,-7545.38,1.0773,0.391
